ID,Title,Content,RuleMatch,ExtractedRule,SlicedRule
68,Certificate Authorities Extension Structure,"The body of the ""certificate_authorities"" extension consists of a CertificateAuthoritiesExtension structure, which includes a list of distinguished names of acceptable certificate authorities.",0,Skip,Skip
69,Distinguished Name Representation,"The authorities are represented in DER-encoded format and specify desired distinguished names for trust anchors or subordinate CAs, helping to describe known trust anchors and authorization spaces.",0,Skip,Skip
70,Client and Server Usage,"The client may send the ""certificate_authorities"" extension in the ClientHello message, while the server may send it in the CertificateRequest message.",0,Skip,Skip
71,Non-usage of Trusted CA Keys Extension,"The ""trusted_ca_keys"" extension, which serves a similar purpose but is more complicated, is not used in TLS 1.3, although it may appear in ClientHello messages from clients offering prior versions of TLS.",0,Skip,Skip
72,OID Filters Purpose,"The ""oid_filters"" extension allows servers to provide a set of OID/value pairs that the client's certificate should match. This extension must only be sent in the CertificateRequest message if provided by the server.",1,"<SMC> <1> (Servers MUST send the ""oid_filters"" extension in the CertificateRequest message only if provided.) + <CMP> <1> (Clients MUST match their certificate against the OID/value pairs provided in the ""oid_filters"" extension.)","<SMC> <1> (Servers MUST send the ""oid_filters"" extension in the CertificateRequest message only if provided.) + <CMP> <1> (Clients MUST match their certificate against the OID/value pairs provided in the ""oid_filters"" extension.)"
73,OIDFilter Structure,"The OIDFilter structure consists of two fields: `certificate_extension_oid` and `certificate_extension_values`, which represent the OID and its corresponding values.",0,Skip,Skip
74,Filters List Requirement,"Filters must be a list of certificate extension OIDs with their allowed values in DER-encoded format. If the server includes a non-empty filters list, the client certificate must contain all specified extension OIDs that the client recognizes.",1,<SMC> <1> (Servers MUST include a non-empty filters list of certificate extension OIDs with allowed values in DER-encoded format.) + <CMP> <1> (Clients MUST ensure that the client certificate contains all specified extension OIDs that they recognize.),<SMC> <1> (Servers MUST include a non-empty filters list of certificate extension OIDs with allowed values in DER-encoded format.) + <CMP> <1> (Clients MUST ensure that the client certificate contains all specified extension OIDs that they recognize.)
75,Client Certificate Validation,"For each recognized extension OID, all specified values must be present in the client certificate. The client may include additional values but must ignore unrecognized OIDs.",1,<CMC> <1> (Clients MUST include all specified values for recognized extension OIDs in the client certificate.) + <SMP> <0> (Servers MUST accept client certificates that include additional values but ignore unrecognized OIDs.),<CMC> <1> (Clients MUST include all specified values for recognized extension OIDs in the client certificate.) + <SMP> <0> (Servers MUST accept client certificates that include additional values but ignore unrecognized OIDs.)
76,Server Actions on Mismatch,"If the client ignores required extension OIDs and provides a non-compliant certificate, the server may either continue without client authentication or abort the handshake with an ""unsupported_certificate"" alert.",1,"<CMC> <1> (Clients MUST NOT ignore required extension OIDs and MUST provide a compliant certificate.) + <SMP> <1> (Servers MAY continue without client authentication if required extensions are ignored.)  
<CMC> <1> (Clients MUST NOT provide a non-compliant certificate.) + <SMP> <1> (Servers MAY abort the handshake with an ""unsupported_certificate"" alert if a non-compliant certificate is provided.)",<CMC> <1> (Clients MUST NOT ignore required extension OIDs and MUST provide a compliant certificate.) + <SMP> <1> (Servers MAY continue without client authentication if required extensions are ignored.)
,,,,,"<CMC> <1> (Clients MUST NOT provide a non-compliant certificate.) + <SMP> <1> (Servers MAY abort the handshake with an ""unsupported_certificate"" alert if a non-compliant certificate is provided.)"
77,Unique OID Requirement,Each OID must not appear more than once in the filters list.,1,<CMC> <1> (Clients MUST ensure that each OID appears only once in the filters list.) + <SMP> <0> (Servers MUST reject the filters list if an OID appears more than once.),<CMC> <1> (Clients MUST ensure that each OID appears only once in the filters list.) + <SMP> <0> (Servers MUST reject the filters list if an OID appears more than once.)
78,PKI Library Dependency,TLS implementations are expected to rely on their PKI libraries to perform certificate selection using the defined OID filters.,0,Skip,Skip
79,Matching Rules for Key Usages,"The document defines matching rules for the Key Usage and Extended Key Usage extensions, requiring that all asserted bits or OIDs in the request be present in the corresponding certificate extensions.",0,Skip,Skip
80,Exclusion of anyExtendedKeyUsage,The special anyExtendedKeyUsage OID must not be used in the request for Extended Key Usage.,1,<CMC> <1> (Clients MUST NOT use the special anyExtendedKeyUsage OID in the request for Extended Key Usage.) + <SMP> <0> (Servers MUST reject requests that include the anyExtendedKeyUsage OID in Extended Key Usage.),<CMC> <1> (Clients MUST NOT use the special anyExtendedKeyUsage OID in the request for Extended Key Usage.) + <SMP> <0> (Servers MUST reject requests that include the anyExtendedKeyUsage OID in Extended Key Usage.)
81,Potential for Additional Specifications,Separate specifications may define matching rules for other certificate extensions.,0,Skip,Skip
82,Post-Handshake Authentication Extension Purpose,"The ""post_handshake_auth"" extension indicates that a client is willing to perform post-handshake authentication (Section 4.6.2).",0,Skip,Skip
83,Server Requirements for Post-Handshake Authentication,Servers must not send a post-handshake CertificateRequest to clients that do not offer this extension.,1,<SMC> <1> (Servers MUST NOT send a post-handshake CertificateRequest to clients that do not offer this extension.) + <CMP> <0> (Clients MUST offer the extension to receive a post-handshake CertificateRequest.),<SMC> <1> (Servers MUST NOT send a post-handshake CertificateRequest to clients that do not offer this extension.) + <CMP> <0> (Clients MUST offer the extension to receive a post-handshake CertificateRequest.)
84,Prohibition of Extension by Servers,Servers must not send this extension.,1,<SMC> <1> (Servers MUST NOT send this extension.) + <CMP> <0> (Clients MUST ignore this extension if received.),<SMC> <1> (Servers MUST NOT send this extension.) + <CMP> <0> (Clients MUST ignore this extension if received.)
85,Post-Handshake Auth Structure,"The ""extension_data"" field of the ""post_handshake_auth"" extension is zero length.",0,Skip,Skip
86,Supported Groups Extension,"When sent by the client, the ""supported_groups"" extension indicates the named groups which the client supports for key exchange, ordered from most preferred to least preferred.",0,Skip,Skip
87,Historical Context,"In versions of TLS prior to TLS 1.3, this extension was named ""elliptic_curves"" and only contained elliptic curve groups.",0,Skip,Skip
88,Signature Algorithms Negotiation,"Signature algorithms are now negotiated independently, as described in Section 4.2.3.",0,Skip,Skip
89,NamedGroupList Structure,"The ""extension_data"" field of this extension contains a ""NamedGroupList"" value, which includes elliptic curve groups (ECDHE) and finite field groups (DHE).",0,Skip,Skip
90,Elliptic Curve Groups,Elliptic Curve Groups (ECDHE) indicate support for named curves defined in FIPS 186-4 or RFC 7748.,0,Skip,Skip
91,Finite Field Groups,Finite Field Groups (DHE) indicate support for finite field groups defined in RFC 7919.,0,Skip,Skip
92,Order of Preferences,"Items in named_group_list are ordered according to the sender's preferences, with the most preferred choice first.",0,Skip,Skip
93,Server Behavior in TLS 1.3,"As of TLS 1.3, servers may send the ""supported_groups"" extension to the client, and clients must not act on this information until the handshake is complete.",1,"<SMC> <1> (Servers MAY send the ""supported_groups"" extension to the client.) + <CMP> <1> (Clients MUST NOT act on the ""supported_groups"" information until the handshake is complete.)","<SMC> <1> (Servers MAY send the ""supported_groups"" extension to the client.) + <CMP> <1> (Clients MUST NOT act on the ""supported_groups"" information until the handshake is complete.)"
94,Updating Client Preferences,"If the server has a preferred group not in the client's ""key_share"" extension but is still willing to accept the ClientHello, it should send ""supported_groups"" to update the client’s view of its preferences.",0,Skip,Skip
95,Key Share Extension Overview,"The ""key_share"" extension contains the endpoint's cryptographic parameters and allows clients to send an empty client_shares vector to request group selection from the server, incurring an additional round trip.",0,Skip,Skip
96,KeyShareEntry Structure,The KeyShareEntry structure includes a named group for the key being exchanged and key exchange information determined by the specified group.,0,Skip,Skip
97,ClientHello Key Share Data,"In the ClientHello message, the ""extension_data"" field contains a ""KeyShareClientHello"" value, which includes a list of offered KeyShareEntry values in descending order of client preference.",0,Skip,Skip
98,Empty Client Shares for HelloRetryRequest,"The client_shares vector may be empty if the client is requesting a HelloRetryRequest, but each KeyShareEntry must correspond to a group in the ""supported_groups"" extension.",1,"<CMC> <1> (Clients MAY have an empty client_shares vector when requesting a HelloRetryRequest.) + <SMP> <1> (Servers MUST ensure that each KeyShareEntry corresponds to a group in the ""supported_groups"" extension.)","<CMC> <1> (Clients MAY have an empty client_shares vector when requesting a HelloRetryRequest.) + <SMP> <1> (Servers MUST ensure that each KeyShareEntry corresponds to a group in the ""supported_groups"" extension.)"
99,Offering Multiple KeyShareEntries,"Clients can offer multiple KeyShareEntry values for supported groups, but each value must be generated independently, and clients must not offer duplicates or invalid groups.",1,"<CMC> <1> (Clients MAY offer multiple KeyShareEntry values for supported groups, but each value MUST be generated independently.) + <SMP> <0> (Servers MUST verify that KeyShareEntry values are not duplicates or invalid groups.)  
<CMC> <1> (Clients MUST NOT offer duplicates or invalid groups in KeyShareEntry values.) + <SMP> <0> (Servers MUST reject KeyShareEntry values that are duplicates or invalid groups.)","<CMC> <1> (Clients MAY offer multiple KeyShareEntry values for supported groups, but each value MUST be generated independently.) + <SMP> <0> (Servers MUST verify that KeyShareEntry values are not duplicates or invalid groups.)"
,,,,,<CMC> <1> (Clients MUST NOT offer duplicates or invalid groups in KeyShareEntry values.) + <SMP> <0> (Servers MUST reject KeyShareEntry values that are duplicates or invalid groups.)
100,HelloRetryRequest Handling,"In a HelloRetryRequest, the ""extension_data"" contains a KeyShareHelloRetryRequest value indicating the mutually supported group for negotiation. The client must verify that the selected group is valid before retrying.",1,<CMC> <1> (Clients MUST verify that the selected group in the KeyShareHelloRetryRequest is valid before retrying.) + <SMP> <0> (Servers MUST accept the KeyShareHelloRetryRequest containing a valid group for negotiation.),<CMC> <1> (Clients MUST verify that the selected group in the KeyShareHelloRetryRequest is valid before retrying.) + <SMP> <0> (Servers MUST accept the KeyShareHelloRetryRequest containing a valid group for negotiation.)
101,ServerHello Key Share Data,"In a ServerHello message, the ""extension_data"" includes a KeyShareServerHello value, which consists of a single KeyShareEntry that matches the client's selected group.",0,Skip,Skip
102,Validation of Key Share in ServerHello,Servers must verify that the KeyShareEntry aligns with the client's supported groups and must not send entries for unsupported groups or in incompatible modes.,1,"<SMC> <1> (Servers MUST verify that the KeyShareEntry aligns with the client's supported groups.) + <CMP> <1> (Clients MUST ensure that supported groups are included in the KeyShareEntry.)  
<SMC> <1> (Servers MUST NOT send KeyShareEntry for unsupported groups.) + <CMP> <0> (Clients MUST process only KeyShareEntries that are for supported groups.)  
<SMC> <1> (Servers MUST NOT send KeyShareEntry in incompatible modes.) + <CMP> <0> (Clients MUST reject any KeyShareEntry that is in an incompatible mode.)  ",<SMC> <1> (Servers MUST verify that the KeyShareEntry aligns with the client's supported groups.) + <CMP> <1> (Clients MUST ensure that supported groups are included in the KeyShareEntry.)
,,,,,<SMC> <1> (Servers MUST NOT send KeyShareEntry for unsupported groups.) + <CMP> <0> (Clients MUST process only KeyShareEntries that are for supported groups.)
,,,,,<SMC> <1> (Servers MUST NOT send KeyShareEntry in incompatible modes.) + <CMP> <0> (Clients MUST reject any KeyShareEntry that is in an incompatible mode.)
103,Diffie-Hellman Parameter Encoding,"Diffie-Hellman parameters for both clients and servers are encoded in the opaque key_exchange field of a KeyShareEntry in a KeyShare structure. The opaque value contains the Diffie-Hellman public value (Y = g^X mod p) for the specified group, encoded as a big-endian integer and padded to the left with zeros to the size of p in bytes.",0,Skip,Skip
104,Public Key Padding,"For a given Diffie-Hellman group, the padding results in all public keys having the same length.",0,Skip,Skip
105,Public Key Validation,Peers must validate each other's public key Y by ensuring that 1 < Y < p-1. This check ensures that the remote peer is properly behaved and isn't forcing the local system into a small subgroup.,1,<CMC> <1> (Clients MUST validate the public key Y by ensuring that 1 < Y < p-1.) + <SMP> <0> (Servers MUST be properly behaved and not force the local system into a small subgroup.),<CMC> <1> (Clients MUST validate the public key Y by ensuring that 1 < Y < p-1.) + <SMP> <0> (Servers MUST be properly behaved and not force the local system into a small subgroup.)
106,Key Share ECDHE Parameters,ECDHE parameters for both clients and servers are encoded in the opaque key_exchange field of a KeyShareEntry in a KeyShare structure.,0,Skip,Skip
107,Uncompressed Point Representation Structure,"For secp256r1, secp384r1, and secp521r1, the contents are the serialized value of the UncompressedPointRepresentation struct, which includes a legacy_form and the binary representations of the x and y values.",0,Skip,Skip
108,Binary Representation Details,"X and Y are the binary representations of the x and y values in network byte order, with each representation occupying octets as specified by the curve parameters. For P-256, each uses 32 octets; for P-384, 48 octets; and for P-521, 66 octets.",0,Skip,Skip
109,Validation of Public Values,"Peers must validate each other's public value Q by ensuring it is a valid point on the elliptic curve, following the procedures outlined in Section 4.3.7 of [ECDSA] and Section 5.6.2.3 of [KEYAGREEMENT]. This includes verifying that Q is not the point at infinity, that x and y are in the correct interval, and that (x, y) satisfies the elliptic curve equation.",1,"```markdown
<CMP> <1> (Clients MUST validate each other's public value Q is a valid point on the elliptic curve according to specified procedures.) + <SMP> <1> (Servers MUST ensure that the public value Q is a valid point on the elliptic curve following the same procedures.)
```",<CMP> <1> (Clients MUST validate each other's public value Q is a valid point on the elliptic curve according to specified procedures.) + <SMP> <1> (Servers MUST ensure that the public value Q is a valid point on the elliptic curve following the same procedures.)
110,Public Values for X25519 and X448,"For X25519 and X448, the public value consists of the byte string inputs and outputs defined in [RFC7748]: 32 bytes for X25519 and 56 bytes for X448.",0,Skip,Skip
111,Point Format Negotiation in TLS,"TLS versions prior to 1.3 allowed point format negotiation, but TLS 1.3 removes this feature, specifying a single point format for each curve.",0,Skip,Skip
112,PSK Key Exchange Modes Requirement,"In order to use PSKs, clients must send a ""psk_key_exchange_modes"" extension, indicating the supported modes. This restricts both the PSKs offered in the ClientHello and those the server might supply via NewSessionTicket.",1,"<CMC> <1> (Clients MUST send a ""psk_key_exchange_modes"" extension indicating supported modes to use PSKs.) + <SMP> <1> (Servers MUST restrict PSKs offered in the ClientHello and those supplied via NewSessionTicket based on the modes indicated by the client.)","<CMC> <1> (Clients MUST send a ""psk_key_exchange_modes"" extension indicating supported modes to use PSKs.) + <SMP> <1> (Servers MUST restrict PSKs offered in the ClientHello and those supplied via NewSessionTicket based on the modes indicated by the client.)"
113,Mandatory Extension for Pre-Shared Key,"A client must provide a ""psk_key_exchange_modes"" extension if it offers a ""pre_shared_key"" extension. If a client offers ""pre_shared_key"" without this extension, servers must abort the handshake.",1,"<CMC> <1> (Clients MUST provide a ""psk_key_exchange_modes"" extension if offering a ""pre_shared_key"" extension.) + <SMP> <1> (Servers MUST abort the handshake if a client offers ""pre_shared_key"" without the ""psk_key_exchange_modes"" extension.)","<CMC> <1> (Clients MUST provide a ""psk_key_exchange_modes"" extension if offering a ""pre_shared_key"" extension.) + <SMP> <1> (Servers MUST abort the handshake if a client offers ""pre_shared_key"" without the ""psk_key_exchange_modes"" extension.)"
114,Server Mode Selection Restriction,"Servers must not select a key exchange mode not listed by the client. This extension also restricts modes for PSK resumption, and servers should not send NewSessionTicket with incompatible tickets, or else client resumption attempts will fail.",1,"<SMC> <1> (Servers MUST NOT select a key exchange mode not listed by the client.) + <CMP> <1> (Clients MUST ensure that the selected key exchange mode is listed by the server.)  
<SMC> <1> (Servers SHOULD NOT send NewSessionTicket with incompatible tickets.) + <CMP> <1> (Clients MUST verify that the NewSessionTicket received is compatible for successful resumption.)",<SMC> <1> (Servers MUST NOT select a key exchange mode not listed by the client.) + <CMP> <1> (Clients MUST ensure that the selected key exchange mode is listed by the server.)
,,,,,<SMC> <1> (Servers SHOULD NOT send NewSessionTicket with incompatible tickets.) + <CMP> <1> (Clients MUST verify that the NewSessionTicket received is compatible for successful resumption.)
115,"Prohibition of Server ""psk_key_exchange_modes""","The server must not send a ""psk_key_exchange_modes"" extension.",1,"<SMC> <1> (Servers MUST NOT send a ""psk_key_exchange_modes"" extension.) + <CMP> <0> (Clients MUST accept that the server does not send a ""psk_key_exchange_modes"" extension.)","<SMC> <1> (Servers MUST NOT send a ""psk_key_exchange_modes"" extension.) + <CMP> <0> (Clients MUST accept that the server does not send a ""psk_key_exchange_modes"" extension.)"
116,Definition of PSK Key Exchange Modes,"The enum defines two modes: psk_ke for PSK-only key establishment, where the server must not supply a ""key_share"" value, and psk_dhe_ke for PSK with (EC)DHE key establishment, where both parties must supply ""key_share"" values.",1,"<SMC> <1> (Servers MUST NOT supply a ""key_share"" value in psk_ke mode.) + <CMP> <1> (Clients MUST supply a ""key_share"" value in psk_dhe_ke mode.)  
<SMC> <1> (Servers MUST supply a ""key_share"" value in psk_dhe_ke mode.) + <CMP> <1> (Clients MUST supply a ""key_share"" value in psk_dhe_ke mode.)  ","<SMC> <1> (Servers MUST NOT supply a ""key_share"" value in psk_ke mode.) + <CMP> <1> (Clients MUST supply a ""key_share"" value in psk_dhe_ke mode.)"
,,,,,"<SMC> <1> (Servers MUST supply a ""key_share"" value in psk_dhe_ke mode.) + <CMP> <1> (Clients MUST supply a ""key_share"" value in psk_dhe_ke mode.)"
117,Future Protocol Indications,"Future values must ensure that protocol messages unambiguously identify the selected mode by the presence of ""key_share"" in the ServerHello.",1,"<SMC> <1> (Servers MUST ensure that protocol messages unambiguously identify the selected mode by including ""key_share"" in the ServerHello.) + <CMP> <0> (Clients MUST verify the presence of ""key_share"" in the ServerHello to identify the selected mode.)","<SMC> <1> (Servers MUST ensure that protocol messages unambiguously identify the selected mode by including ""key_share"" in the ServerHello.) + <CMP> <0> (Clients MUST verify the presence of ""key_share"" in the ServerHello to identify the selected mode.)"
118,Early Data with PSK,"When a PSK is used and early data is allowed, the client can send Application Data in its first flight of messages, supplying both the ""pre_shared_key"" and ""early_data"" extensions.",0,Skip,Skip
119,Early Data Indication Structure,"The ""extension_data"" field contains an ""EarlyDataIndication"" value, with a specific structure dependent on the handshake message type.",0,Skip,Skip
120,Max Early Data Size,Details regarding the use of the max_early_data_size field are specified in Section 4.6.1.,0,Skip,Skip
121,PSK and Associated Parameters,"The parameters for 0-RTT data, such as version and cipher suite, are linked to the PSK in use, either provisioned or negotiated during the connection.",0,Skip,Skip
122,Ticket Age Validation,"For PSKs from NewSessionTicket, the server must validate the ticket age against the time since issuance, rejecting 0-RTT if it fails.",1,<SMC> <1> (Servers MUST validate the ticket age against the time since issuance for PSKs from NewSessionTicket.) + <CMP> <1> (Clients MUST abort 0-RTT if the ticket age validation fails.),<SMC> <1> (Servers MUST validate the ticket age against the time since issuance for PSKs from NewSessionTicket.) + <CMP> <1> (Clients MUST abort 0-RTT if the ticket age validation fails.)
123,0-RTT Message Structure,"0-RTT messages share encrypted content types with other message types but use different keys, with an EndOfEarlyData message indicating key change.",0,Skip,Skip
124,Server Response to Early Data,"A server receiving an ""early_data"" extension may ignore it, request a new ClientHello, or accept it and process early data.",0,Skip,Skip
125,Requirements for Accepting Early Data,"To accept early data, the server must verify the TLS version, cipher suite, and ALPN protocol match those associated with the selected PSK.",1,"<SMC> <1> (Servers MUST verify the TLS version, cipher suite, and ALPN protocol to accept early data associated with the selected PSK.) + <CMP> <0> (Clients MUST ensure that the TLS version, cipher suite, and ALPN protocol match those associated with the selected PSK for early data acceptance.)","<SMC> <1> (Servers MUST verify the TLS version, cipher suite, and ALPN protocol to accept early data associated with the selected PSK.) + <CMP> <0> (Clients MUST ensure that the TLS version, cipher suite, and ALPN protocol match those associated with the selected PSK for early data acceptance.)"
126,Handling Failed Checks,"If checks fail, the server must discard first-flight data and revert to 1-RTT or 2-RTT.",1,<SMC> <1> (Servers MUST discard first-flight data if checks fail.) + <CMP> <0> (Clients MUST revert to 1-RTT or 2-RTT if the server discards first-flight data.),<SMC> <1> (Servers MUST discard first-flight data if checks fail.) + <CMP> <0> (Clients MUST revert to 1-RTT or 2-RTT if the server discards first-flight data.)
127,Error Handling for Early Data,"If the server accepts early data but fails to decrypt records, it must terminate the connection with a ""bad_record_mac"" alert.",1,"<SMC> <1> (Servers MUST terminate the connection with a ""bad_record_mac"" alert if they accept early data but fail to decrypt records.) + <SMP> <1> (Servers MUST accept early data before attempting to decrypt records.)","<SMC> <1> (Servers MUST terminate the connection with a ""bad_record_mac"" alert if they accept early data but fail to decrypt records.) + <SMP> <1> (Servers MUST accept early data before attempting to decrypt records.)"
128,Client Behavior on Rejection,"If the server rejects the ""early_data"" extension, the client may retransmit Application Data after the handshake, but must consider the connection state.",1,"<CMC> <1> (Clients may retransmit Application Data after the handshake if the server rejects the ""early_data"" extension.) + <SMP> <0> (Servers must reject the ""early_data"" extension if not allowed, impacting the client's connection state considerations.)","<CMC> <1> (Clients may retransmit Application Data after the handshake if the server rejects the ""early_data"" extension.) + <SMP> <0> (Servers must reject the ""early_data"" extension if not allowed, impacting the client's connection state considerations.)"
129,Guidance for TLS Implementations,A TLS implementation should not automatically resend early data; applications should decide when retransmission is appropriate.,0,Skip,Skip
130,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip
131,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip
132,PSK Binder Purpose,"The PSK binder value forms a binding between a PSK and the current handshake, as well as a binding between the handshake in which the PSK was generated and the current handshake.",0,Skip,Skip
133,Binder Computation Method,"Each entry in the binders list is computed as an HMAC over a transcript hash containing a partial ClientHello up to and including the PreSharedKeyExtension.identities field, excluding the binders list itself.",0,Skip,Skip
134,Message Length Fields,"The length fields for the message are set as if binders of the correct lengths were present, including overall length, extensions block length, and the ""pre_shared_key"" extension length.",0,Skip,Skip
135,PskBinderEntry Computation,"The PskBinderEntry is computed similarly to the Finished message, using the binder_key derived from the corresponding PSK offered.",0,Skip,Skip
136,Handling HelloRetryRequest,"If the handshake includes a HelloRetryRequest, the initial ClientHello and HelloRetryRequest are included in the transcript along with the new ClientHello, affecting binder computation.",0,Skip,Skip
137,Transcript Hash Examples,"For ClientHello1, its binder is computed over the truncated ClientHello; for ClientHello2 after a HelloRetryRequest, the binder includes the initial ClientHello, HelloRetryRequest, and the truncated new ClientHello.",0,Skip,Skip
138,Hash Computation Details,"In the first flight, Truncate(ClientHello1) is hashed directly, while in the second flight, ClientHello1 is hashed and reinjected as a ""message_hash"" message.",0,Skip,Skip
139,0-RTT Data Streaming,"Clients are permitted to ""stream"" 0-RTT data until they receive the server's Finished, only then sending the EndOfEarlyData message, followed by the rest of the handshake.",0,Skip,Skip
140,Server Processing of Early Data,"To avoid deadlocks, when accepting ""early_data"", servers must process the client's ClientHello and then immediately send their flight of messages, rather than waiting for the client's EndOfEarlyData message before sending its ServerHello.",1,"<SMC> <1> (Servers MUST process the client's ClientHello and then immediately send their flight of messages when accepting ""early_data"".) + <CMP> <1> (Clients MUST send an EndOfEarlyData message after sending early data.)","<SMC> <1> (Servers MUST process the client's ClientHello and then immediately send their flight of messages when accepting ""early_data"".) + <CMP> <1> (Clients MUST send an EndOfEarlyData message after sending early data.)"
141,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip
142,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip
143,Certificate Request Purpose,"A server which is authenticating with a certificate may optionally request a certificate from the client. This message, if sent, must follow EncryptedExtensions.",1,"<SMC> <1> (Servers MAY optionally request a certificate from the client if they are authenticating with a certificate.) + <CMP> <1> (Clients MUST respond with their certificate if requested by the server, and this message MUST follow EncryptedExtensions.)","<SMC> <1> (Servers MAY optionally request a certificate from the client if they are authenticating with a certificate.) + <CMP> <1> (Clients MUST respond with their certificate if requested by the server, and this message MUST follow EncryptedExtensions.)"
144,CertificateRequest Structure,The structure of this message includes a certificate_request_context and a set of extensions.,0,Skip,Skip
145,certificate_request_context Details,"The certificate_request_context is an opaque string identifying the certificate request, which must be unique within the scope of the connection to prevent replay of client CertificateVerify messages. It shall be zero length unless used for post-handshake authentication, where it should be made unpredictable to prevent pre-computation of valid CertificateVerify messages.",1,"<CMP> <1> (Clients MUST ensure the certificate_request_context is unique within the scope of the connection to prevent replay of CertificateVerify messages.) + <SMC> <0> (Servers MUST validate that the certificate_request_context is unique within the connection to prevent replay of CertificateVerify messages.)
<CMP> <1> (Clients SHALL use a zero-length certificate_request_context unless it's for post-handshake authentication.) + <SMC> <0> (Servers MUST accept a zero-length certificate_request_context unless it's for post-handshake authentication.)
<CMP> <1> (Clients MUST make the certificate_request_context unpredictable for post-handshake authentication.) + <SMC> <0> (Servers MUST verify the unpredictability of the certificate_request_context during post-handshake authentication.)",<CMP> <1> (Clients MUST ensure the certificate_request_context is unique within the scope of the connection to prevent replay of CertificateVerify messages.) + <SMC> <0> (Servers MUST validate that the certificate_request_context is unique within the connection to prevent replay of CertificateVerify messages.)
,,,,,<CMP> <1> (Clients SHALL use a zero-length certificate_request_context unless it's for post-handshake authentication.) + <SMC> <0> (Servers MUST accept a zero-length certificate_request_context unless it's for post-handshake authentication.)
,,,,,<CMP> <1> (Clients MUST make the certificate_request_context unpredictable for post-handshake authentication.) + <SMC> <0> (Servers MUST verify the unpredictability of the certificate_request_context during post-handshake authentication.)
146,Extensions Specification,"The extensions describe the parameters of the requested certificate, with the ""signature_algorithms"" extension being mandatory. Clients must ignore unrecognized extensions.",1,"<CMC> <1> (Clients MUST include the ""signature_algorithms"" extension as it is mandatory.) + <SMP> <0> (Servers MUST accept the ""signature_algorithms"" extension as it is mandatory.)
<CMC> <1> (Clients MUST ignore unrecognized extensions.) + <SMP> <0> (Servers MUST not process unrecognized extensions sent by clients.)","<CMC> <1> (Clients MUST include the ""signature_algorithms"" extension as it is mandatory.) + <SMP> <0> (Servers MUST accept the ""signature_algorithms"" extension as it is mandatory.)"
,,,,,<CMC> <1> (Clients MUST ignore unrecognized extensions.) + <SMP> <0> (Servers MUST not process unrecognized extensions sent by clients.)
147,Changes in TLS 1.3,"In TLS 1.3, the CertificateRequest message expresses acceptable signature algorithms and certificate authorities through specific extensions, differing from prior versions.",0,Skip,Skip
148,PSK Authentication Constraints,"Servers authenticating with a PSK must not send the CertificateRequest message in the main handshake but may do so in post-handshake authentication if the client has sent the ""post_handshake_auth"" extension.",1,"<SMC> <1> (Servers MUST NOT send the CertificateRequest message in the main handshake when authenticating with a PSK.) + <CMP> <1> (Clients MAY receive a CertificateRequest message during post-handshake authentication if the ""post_handshake_auth"" extension was sent.)","<SMC> <1> (Servers MUST NOT send the CertificateRequest message in the main handshake when authenticating with a PSK.) + <CMP> <1> (Clients MAY receive a CertificateRequest message during post-handshake authentication if the ""post_handshake_auth"" extension was sent.)"
149,Authentication Messages Overview,"TLS generally uses a common set of messages for authentication, key confirmation, and handshake integrity: Certificate, CertificateVerify, and Finished. These messages are always sent as the last messages in their handshake flight.",0,Skip,Skip
150,Message Encryption,These messages are encrypted under keys derived from the sender's handshake traffic secret.,0,Skip,Skip
151,Input Computations for Authentication Messages,"The computations for the Authentication messages take the certificate and signing key, a Handshake Context consisting of the set of messages for the transcript hash, and a Base Key for computing a MAC key.",0,Skip,Skip
152,Certificate Message Details,The Certificate message includes the certificate for authentication and any supporting certificates in the chain. Note that certificate-based client authentication is not available in PSK handshake flows (including 0-RTT).,0,Skip,Skip
153,CertificateVerify Message Details,"The CertificateVerify message contains a signature over the value Transcript-Hash(Handshake Context, Certificate).",0,Skip,Skip
154,Finished Message Details,"The Finished message includes a MAC over the value Transcript-Hash(Handshake Context, Certificate, CertificateVerify) using a MAC key derived from the Base Key.",0,Skip,Skip
155,Handshake Context and MAC Base Key Definitions,"The table defines the Handshake Context and MAC Base Key for each scenario, including modes for Server, Client, and Post-Handshake.",0,Skip,Skip
156,Transcript Hash Purpose,"Many of the cryptographic computations in TLS make use of a transcript hash, computed by hashing the concatenation of each included handshake message, including the message header but not record layer headers.",0,Skip,Skip
157,Transcript Hash Computation,"The transcript hash is computed as Transcript-Hash(M1, M2, ... Mn) = Hash(M1 || M2 || ... || Mn).",0,Skip,Skip
158,Handling HelloRetryRequest,"When the server responds to a ClientHello with a HelloRetryRequest, ClientHello1 is replaced with a synthetic handshake message of type ""message_hash"" containing Hash(ClientHello1).",0,Skip,Skip
159,Stateless HelloRetryRequest Explanation,"This construction allows the server to perform a stateless HelloRetryRequest by storing just the hash of ClientHello1 in the cookie, avoiding the need to export the entire intermediate hash state.",0,Skip,Skip
