index,section,title,construction_rule_type,construction_explicitness,construction_base,processing_rule_type,processing_explicitness,processing_base
84,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,Key Exchange Mode Descriptions,CLI-MSG-CONST,1,"""In the psk_dhe_ke mode, both the client and server MUST supply 'key_share' values.""",SRV-MSG-PROC,1,"""Servers MUST provide 'key_share' values in psk_dhe_ke mode as specified in Section 4.2.8."""
85,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,Future Key Exchange Modes,SRV-MSG-CONST,1,"""Servers MUST ensure that any future values allocated in protocol messages clearly indicate the selected mode.""",SRV-MSG-PROC,1,"""Servers MUST indicate the selected mode in ServerHello by including the ""key_share"" extension."""
86,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Early Data Indication Overview,CLI-MSG-CONST,1,"""Clients MUST supply both the ""pre_shared_key"" and ""early_data"" extensions when using PSK with early data.""",SRV-MSG-PROC,0,"""Servers must handle the early data if both extensions are provided, but no specific requirement is detailed."""
87,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Parameters for 0-RTT Data,CLI-MSG-CONST,1,"""Clients MUST use the first PSK listed in the 'pre_shared_key' extension to encrypt early data.""",SRV-MSG-PROC,1,"""Servers MUST validate that the PSK used to encrypt early data is the first PSK listed in the client's 'pre_shared_key' extension."""
88,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Server Validation of PSK Ticket Age,SRV-MSG-CONST,1,"""Servers MUST validate that the ticket age for the selected PSK identity is within a small tolerance of the time since the ticket was issued.""",SRV-MSG-PROC,1,"""If the ticket age is not valid, servers SHOULD proceed with the handshake but reject 0-RTT and SHOULD NOT assume the ClientHello is fresh."""
89,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Server Response to Early Data Extension,SRV-MSG-CONST,1,"""Servers MUST behave in one of three ways upon receiving an 'early_data' extension: ignore it and process as normal 1-RTT, request a new ClientHello, or return their own 'early_data' extension in EncryptedExtensions.""",SRV-MSG-PROC,1,"""Servers MUST skip early data records that fail deprotection using the handshake traffic key, up to max_early_data_size, and should handle responses based on the chosen behavior."""
90,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Server Response to Early Data Extension,SRV-MSG-CONST,1,"""If the server responds with a HelloRetryRequest, the client MUST NOT include the 'early_data' extension in the follow-up ClientHello.""",SRV-MSG-PROC,1,"""Servers MUST ignore all early data records with an external content type of 'application_data' during the HelloRetryRequest process."""
91,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Server Response to Early Data Extension,SRV-MSG-CONST,1,"""If the server intends to process early data, it MUST include its own 'early_data' extension in the EncryptedExtensions message.""",SRV-MSG-PROC,1,"""The server MUST NOT accept only a subset of the early data messages; all messages must be processed if the 'early_data' extension is acknowledged."""
92,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Requirements for Accepting Early Data,SRV-MSG-CONST,1,"""The server MUST accept a PSK cipher suite and select the first key offered in the client's 'pre_shared_key' extension to accept early data.""",SRV-MSG-PROC,1,"""The server MUST verify that the TLS version number, selected cipher suite, and selected ALPN protocol match those associated with the selected PSK."""
93,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Requirements for Accepting Early Data,SRV-MSG-CONST,1,"""These requirements are a superset of those needed to perform a 1-RTT handshake using the PSK.""",SRV-MSG-PROC,0,"""No specific processing rules defined for this superset requirement."""
94,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Error Handling for Early Data,CLI-MSG-CONST,1,"""Clients MUST handle the case where the server rejects a 0-RTT handshake by ensuring that no 0-RTT records are sent if the server does not support them.""",SRV-MSG-PROC,1,"""Servers MUST NOT respond with the extension if any checks fail and MUST discard all first-flight data, falling back to 1-RTT or 2-RTT."""
95,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Error Handling for Early Data,CLI-MSG-CONST,1,"""Clients MUST expect that if the server rejects the 0-RTT handshake, it will not have the 0-RTT record protection keys.""",SRV-MSG-PROC,1,"""Servers MUST use trial decryption to find the first non-0-RTT message when rejecting 0-RTT handshakes."""
96,4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Error Handling Requirements,SRV-MSG-CONST,1,"""If the server accepts the 'early_data' extension, it MUST comply with error-handling requirements for processing early data records.""",SRV-MSG-PROC,1,"""If the server fails to decrypt a 0-RTT record, it MUST terminate the connection with a 'bad_record_mac' alert."""
97,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Field Descriptions,CLI-MSG-CONST,1,"""Clients MUST provide a label for a key, which can be a ticket or a pre-shared key label.""",SRV-MSG-PROC,1,"""Servers MUST recognize and utilize the identity label provided by the client."""
98,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Field Descriptions,CLI-MSG-CONST,1,"""Clients SHOULD use an obfuscated_ticket_age of 0 for externally established identities, which servers MUST ignore.""",SRV-MSG-PROC,1,"""Servers MUST ignore the obfuscated_ticket_age value when it is 0."""
99,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Field Descriptions,CLI-MSG-CONST,1,"""Clients MUST send a list of identities they are willing to negotiate, using the first identity for 0-RTT data if 'early_data' is also sent.""",SRV-MSG-PROC,1,"""Servers MUST select the first identity from the identities list for processing 0-RTT data if the 'early_data' extension is present."""
100,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Field Descriptions,CLI-MSG-CONST,1,"""Clients MUST provide binders as HMAC values for each identity in the identities list.""",SRV-MSG-PROC,1,"""Servers MUST validate the binders against the identities provided."""
101,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Field Descriptions,CLI-MSG-CONST,1,"""Clients MUST indicate the server's chosen identity as a (0-based) index into the identities list.""",SRV-MSG-PROC,1,"""Servers MUST confirm the selected_identity index corresponds to an identity in the client's list."""
102,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,PSK Hash Algorithm,CLI-MSG-CONST,1,"""Externally established PSKs MUST have the Hash algorithm set during establishment or default to SHA-256 if no algorithm is defined.""",SRV-MSG-PROC,1,"""The server MUST ensure that it selects a compatible PSK and cipher suite."""
103,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,PSK Hash Algorithm,CLI-MSG-CONST,1,"""For PSKs established via the ticket mechanism, the Hash algorithm is the KDF Hash algorithm from the connection where the ticket was established.""",SRV-MSG-PROC,0,"""Servers use the KDF Hash algorithm from the connection for PSKs established via the ticket mechanism."""
104,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Binder Validation,SRV-MSG-CONST,1,"""Servers MUST ensure the binder value is present and valid before accepting PSK key establishment.""",SRV-MSG-PROC,1,"""If the binder value is missing or invalid, the server MUST abort the handshake."""
105,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Binder Validation,SRV-MSG-CONST,1,"""Servers SHOULD select a single PSK and validate only the corresponding binder for that PSK.""",SRV-MSG-PROC,1,"""Servers MUST validate solely the binder associated with the selected PSK."""
106,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Client Verification,CLI-MSG-CONST,1,"""Clients MUST verify that the selected_identity is within the supplied range, that the selected cipher suite indicates a Hash associated with the PSK, and that a server 'key_share' extension is present if required by the 'psk_key_exchange_modes' extension.""",SRV-MSG-PROC,1,"""Servers MUST ensure the selected_identity, cipher suite, and 'key_share' extension are consistent with the ClientHello parameters."""
107,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Client Verification,CLI-MSG-CONST,1,"""Clients MUST abort the handshake with an 'illegal_parameter' alert if the verification of the selected_identity, cipher suite, or 'key_share' extension fails.""",SRV-MSG-PROC,1,"""Servers MUST handle the 'illegal_parameter' alert appropriately, ensuring the handshake is terminated correctly."""
108,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Early Data Handling,CLI-MSG-CONST,1,"""Clients MUST verify that the server's selected_identity is 0 if the server supplies an ""early_data"" extension.""",SRV-MSG-PROC,0,"""If the server supplies an ""early_data"" extension, it must ensure the selected_identity is set appropriately."""
109,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Early Data Handling,CLI-MSG-CONST,1,"""Clients MUST abort the handshake with an ""illegal_parameter"" alert if any value other than 0 is returned for selected_identity.""",SRV-MSG-PROC,0,"""Servers must ensure proper handling of selected_identity values to avoid handshake failures."""
110,4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Extension Positioning,CLI-MSG-CONST,1,"""Clients MUST place the ""pre_shared_key"" extension last in the ClientHello.""",SRV-MSG-PROC,1,"""Servers MUST check that the ""pre_shared_key"" extension is the last extension in ClientHello and fail the handshake with an ""illegal_parameter"" alert if it is not."""
111,4.2.11.1.. Handshake Protocol_Extensions_Pre-Shared Key Extension_Ticket Age,Client Ticket Age Handling,CLI-MSG-CONST,1,"""Clients MUST consider the ticket age as the time since receiving the NewSessionTicket message and MUST NOT use tickets with ages greater than the 'ticket_lifetime' value.""",SRV-MSG-PROC,1,"""Servers must ensure that clients do not use tickets exceeding the specified 'ticket_lifetime' during session resumption."""
112,4.2.11.3.. Handshake Protocol_Extensions_Pre-Shared Key Extension_Processing Order,0-RTT Data Streaming and Processing Order,CLI-MSG-CONST,1,"""Clients are permitted to stream 0-RTT data until they receive the server's Finished message. They must send the EndOfEarlyData message after receiving this.""",SRV-MSG-PROC,1,"""Servers MUST process the client's ClientHello and immediately send their flight of messages, rather than waiting for the client's EndOfEarlyData message before sending its ServerHello."""
113,4.3.1.. Handshake Protocol_Server Parameters_Encrypted Extensions,EncryptedExtensions Message Overview,SRV-MSG-CONST,1,"""Servers MUST send the EncryptedExtensions message immediately after the ServerHello message.""",CLI-MSG-PROC,1,"""Clients MUST expect to receive the EncryptedExtensions message immediately following the ServerHello."""
114,4.3.1.. Handshake Protocol_Server Parameters_Encrypted Extensions,Purpose of EncryptedExtensions,CLI-MSG-CONST,1,"""Clients MUST check the EncryptedExtensions message for forbidden extensions.""",SRV-MSG-PROC,1,"""If forbidden extensions are found in the EncryptedExtensions message, clients MUST abort the handshake with an 'illegal_parameter' alert."""
115,4.3.2.. Handshake Protocol_Server Parameters_Certificate Request,CertificateRequest Message Overview,SRV-MSG-CONST,1,"""Servers MAY optionally request a certificate from the client, and this request MUST follow the EncryptedExtensions message.""",CLI-MSG-PROC,0,"""Clients may respond to a certificate request if one is received after the EncryptedExtensions."""
116,4.3.2.. Handshake Protocol_Server Parameters_Certificate Request,Field Descriptions,SRV-MSG-CONST,1,"""The server MUST ensure that 'certificate_request_context' is unique within the connection scope to prevent replay of client CertificateVerify messages.""",CLI-MSG-PROC,1,"""Clients MUST verify that 'certificate_request_context' is unique and should respond accordingly to avoid replay attacks."""
117,4.3.2.. Handshake Protocol_Server Parameters_Certificate Request,Field Descriptions,SRV-MSG-CONST,1,"""The 'signature_algorithms' extension MUST be specified in the certificate request, and other extensions MAY be included if defined.""",CLI-MSG-PROC,1,"""Clients MUST ignore any unrecognized extensions in the certificate request."""
118,4.3.2.. Handshake Protocol_Server Parameters_Certificate Request,Field Descriptions,SRV-MSG-CONST,1,"""When requesting post-handshake authentication, the server SHOULD make 'certificate_request_context' unpredictable to prevent pre-computation of valid CertificateVerify messages.""",CLI-MSG-PROC,1,"""Clients SHOULD be prepared to handle unpredictable 'certificate_request_context' values when post-handshake authentication is requested."""
119,4.3.2.. Handshake Protocol_Server Parameters_Certificate Request,Restrictions for PSK Authentication,SRV-MSG-CONST,1,"""Servers MUST NOT send the CertificateRequest message in the main handshake when authenticating with a PSK.""",CLI-MSG-PROC,0,"""Clients do not expect a CertificateRequest during the main handshake when PSK is being used."""
120,4.3.2.. Handshake Protocol_Server Parameters_Certificate Request,Restrictions for PSK Authentication,SRV-MSG-CONST,0,"""Servers MAY send the CertificateRequest message in post-handshake authentication if the client has sent the 'post_handshake_auth' extension.""",CLI-MSG-PROC,0,"""Clients may receive a CertificateRequest in post-handshake authentication if they have sent the 'post_handshake_auth' extension."""
121,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Certificate Message Overview,SRV-MSG-CONST,1,"""The server MUST send a Certificate message when using a key exchange method that requires certificates for authentication, excluding PSK.""",CLI-MSG-PROC,1,"""The client MUST send a Certificate message only if the server has requested client authentication via a CertificateRequest message."""
122,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Certificate Message Overview,CLI-MSG-CONST,1,"""If the server requests client authentication but no suitable certificate is available, the client MUST send a Certificate message with an empty certificate_list.""",SRV-MSG-PROC,1,"""The server MUST accept a Certificate message with an empty certificate_list when the client has no certificates."""
123,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Certificate Message Overview,CLI-MSG-CONST,1,"""A Finished message MUST be sent by both parties regardless of whether the Certificate message is empty.""",SRV-MSG-PROC,1,"""The server MUST send a Finished message after processing the Certificate message."""
124,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Field Descriptions,SRV-MSG-CONST,1,"""The server's Certificate message MUST include the certificate_request_context if responding to a CertificateRequest; otherwise, it SHALL be of zero length.""",CLI-MSG-PROC,1,"""Clients MUST ensure that the certificate_request_context is correctly handled based on the type of response received."""
125,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Field Descriptions,SRV-MSG-CONST,1,"""The server's Certificate message MUST contain a sequence of CertificateEntry structures in the certificate_list.""",CLI-MSG-PROC,1,"""Clients MUST process the certificate_list, which contains the chain of certificates presented by the server."""
126,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Field Descriptions,SRV-MSG-CONST,1,"""The server's Certificate message MUST include valid extensions for each CertificateEntry, such as OCSP Status and SignedCertificateTimestamp.""",CLI-MSG-PROC,1,"""Clients MUST verify that the extensions in the server's Certificate message correspond to those in the ClientHello."""
127,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Certificate Chain Requirements,CLI-MSG-CONST/SRV-MSG-CONST,1,"""Each CertificateEntry MUST contain a DER-encoded X.509 certificate if negotiated. The sender's certificate MUST be the first CertificateEntry in the list.""",SRV-MSG-PROC,1,"""Servers MUST verify that the first CertificateEntry is the sender's certificate and each following certificate SHOULD directly certify the one immediately preceding it."""
128,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Certificate Chain Requirements,CLI-MSG-CONST/SRV-MSG-CONST,1,"""A certificate that specifies a trust anchor MAY be omitted from the chain if supported peers are known to possess any omitted certificates.""",SRV-MSG-PROC,1,"""Servers MUST account for potentially omitted trust anchor certificates when validating the certificate chain."""
129,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Handling Certificate List Ordering,CLI-MSG-CONST,1,"""Clients SHOULD be prepared to handle potentially extraneous certificates and arbitrary orderings from any TLS version, but the end-entity certificate MUST be first.""",SRV-MSG-PROC,1,"""Servers MUST ensure that the end-entity certificate is the first in the certificate_list."""
130,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,RawPublicKey Certificate Type,CLI-MSG-CONST,1,"""If the RawPublicKey certificate type is negotiated, the certificate_list MUST contain no more than one CertificateEntry.""",SRV-MSG-PROC,1,"""Servers MUST validate that the certificate_list contains at most one CertificateEntry with an ASN1_subjectPublicKeyInfo value."""
131,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,OpenPGP Certificate Type,CLI-MSG-CONST,1,"""Clients MUST NOT use the OpenPGP certificate type with TLS 1.3.""",SRV-MSG-PROC,1,"""Servers MUST reject any authentication message that includes the OpenPGP certificate type."""
132,4.4.2.. Handshake Protocol_Authentication Messages_Certificate,Server Certificate List Requirement,SRV-MSG-CONST,1,"""The server's certificate_list MUST always be non-empty.""",CLI-MSG-PROC,1,"""Clients will send an empty certificate_list if they do not have an appropriate certificate to respond to the server's authentication request."""
133,4.4.2.1.. Handshake Protocol_Authentication Messages_Certificate_OCSP Status and SCT Extensions,OCSP Status Extension in TLS 1.3,SRV-MSG-CONST,1,"""The server MUST include the OCSP information in a 'status_request' extension within the CertificateEntry associated with the certificate.""",SRV-MSG-PROC,1,"""The 'status_request' extension body MUST be a CertificateStatus structure defined in [RFC6066] and interpreted according to [RFC6960]."""
134,4.4.2.1.. Handshake Protocol_Authentication Messages_Certificate_OCSP Status and SCT Extensions,Deprecation of status_request_v2 Extension,CLI-MSG-CONST,1,"""Clients MAY include the status_request_v2 extension in ClientHello messages, but it is deprecated.""",SRV-MSG-PROC,1,"""Servers MUST NOT act upon the presence of the status_request_v2 extension in ClientHello messages and MUST NOT include it in EncryptedExtensions, CertificateRequest, or Certificate messages."""
135,4.4.2.1.. Handshake Protocol_Authentication Messages_Certificate_OCSP Status and SCT Extensions,Deprecation of status_request_v2 Extension,CLI-MSG-CONST,1,"""Clients MAY send the status_request_v2 extension in ClientHello, intending to use it with earlier TLS versions.""",SRV-MSG-PROC,1,"""Servers MUST be able to process ClientHello messages that include the deprecated status_request_v2 extension."""
136,4.4.2.1.. Handshake Protocol_Authentication Messages_Certificate_OCSP Status and SCT Extensions,Client OCSP Response Request,CLI-MSG-CONST,1,"""Clients MAY send an OCSP response if a server requests it via an empty 'status_request' extension in the CertificateRequest message. If sent, the body of the 'status_request' extension MUST be a CertificateStatus structure as defined in [RFC6066].""",SRV-MSG-PROC,1,"""Servers MUST process the 'status_request' extension and validate the CertificateStatus structure if the client opts to send an OCSP response."""
137,4.4.2.2.. Handshake Protocol_Authentication Messages_Certificate_Server Certificate Selection,Certificate Selection Rules,SRV-MSG-CONST,1,"""Servers MUST send certificates of type X.509v3 unless negotiated otherwise. The server's end-entity certificate's public key MUST be compatible with the selected authentication algorithm from the client's ""signature_algorithms"" extension.""",CLI-MSG-PROC,1,"""Clients SHOULD include the ""server_name"" extension to assist in certificate selection when applicable."""
138,4.4.2.2.. Handshake Protocol_Authentication Messages_Certificate_Server Certificate Selection,Certificate Selection Rules,SRV-MSG-CONST,1,"""The server's end-entity certificate MUST allow the key to be used for signing, with the digitalSignature bit set if the Key Usage extension is present and a signature scheme indicated in the client's ""signature_algorithms""/""signature_algorithms_cert"" extensions.""",CLI-MSG-PROC,0,"""Clients MUST ensure that the certificate received allows for the indicated signing capabilities."""
139,4.4.2.2.. Handshake Protocol_Authentication Messages_Certificate_Server Certificate Selection,Certificate Selection Rules,SRV-MSG-CONST,0,"""Servers MAY require the presence of the ""server_name"" extension for certificate selection.""",CLI-MSG-PROC,1,"""Clients SHOULD send the ""server_name"" extension when applicable to guide certificate selection."""
140,4.4.2.2.. Handshake Protocol_Authentication Messages_Certificate_Server Certificate Selection,Certificate Chain Signing Requirements,SRV-MSG-CONST,1,"""Servers MUST provide certificates signed by a signature algorithm that the client has advertised, if the client is able to provide such a chain.""",CLI-MSG-PROC,1,"""Clients MUST verify that the server's certificate chain is signed by an algorithm they support."""
141,4.4.2.2.. Handshake Protocol_Authentication Messages_Certificate_Server Certificate Selection,Certificate Chain Signing Requirements,SRV-MSG-CONST,1,"""Self-signed certificates or trust anchor certificates MAY be signed with any algorithm.""",CLI-MSG-PROC,0,"""Clients MAY accept self-signed or trust anchor certificates without validation against the advertised algorithms."""
142,4.4.2.2.. Handshake Protocol_Authentication Messages_Certificate_Server Certificate Selection,Fallback Certificate Chain Handling,SRV-MSG-CONST,1,"""Servers SHOULD send a certificate chain of their choice if they cannot produce a chain signed only via the indicated supported algorithms.""",CLI-MSG-PROC,1,"""Clients MUST check the received certificate chain for compatibility with the supported algorithms."""
143,4.4.2.2.. Handshake Protocol_Authentication Messages_Certificate_Server Certificate Selection,Fallback Certificate Chain Handling,SRV-MSG-CONST,1,"""Fallback chains SHOULD NOT use the deprecated SHA-1 hash algorithm in general, but MAY do so if permitted by the client's advertisement.""",CLI-MSG-PROC,1,"""Clients MUST reject fallback chains that use SHA-1 if their advertisement does not permit it."""
144,4.4.2.2.. Handshake Protocol_Authentication Messages_Certificate_Server Certificate Selection,Client Handling of Certificate Chains,CLI-MSG-CONST,1,"""Clients MUST construct an acceptable chain using provided certificates or decide to abort the handshake.""",SRV-MSG-PROC,1,"""If the client aborts the handshake, it MUST send an appropriate certificate-related alert, defaulting to 'unsupported_certificate'."""
145,4.4.2.3.. Handshake Protocol_Authentication Messages_Certificate_Client Certificate Selection,Client Certificate Selection Rules,CLI-MSG-CONST,1,"""Clients MUST send certificates of type X.509v3 unless explicitly negotiated otherwise.""",SRV-MSG-PROC,1,"""Servers MUST validate that the client certificate is of type X.509v3 unless a different type has been negotiated."""
146,4.4.2.3.. Handshake Protocol_Authentication Messages_Certificate_Client Certificate Selection,Client Certificate Selection Rules,CLI-MSG-CONST,1,"""If the ""certificate_authorities"" extension in the CertificateRequest message is present, at least one certificate in the chain SHOULD be issued by one of the listed CAs.""",SRV-MSG-PROC,1,"""Servers SHOULD check that at least one certificate in the chain is issued by one of the CAs listed in the ""certificate_authorities"" extension."""
147,4.4.2.3.. Handshake Protocol_Authentication Messages_Certificate_Client Certificate Selection,Client Certificate Selection Rules,CLI-MSG-CONST,1,"""Clients MUST ensure that certificates are signed using an acceptable signature algorithm as specified in Section 4.3.2.""",SRV-MSG-PROC,1,"""Servers MUST verify that the signature algorithm used to sign the certificates is acceptable as defined in Section 4.3.2."""
148,4.4.2.3.. Handshake Protocol_Authentication Messages_Certificate_Client Certificate Selection,Client Certificate Selection Rules,CLI-MSG-CONST,1,"""If the CertificateRequest message contains a non-empty ""oid_filters"" extension, the end-entity certificate MUST match the recognized OIDs.""",SRV-MSG-PROC,1,"""Servers MUST check that the end-entity certificate matches the OIDs specified in the ""oid_filters"" extension."""
149,4.4.2.4.. Handshake Protocol_Authentication Messages_Certificate_Receiving a Certificate Message,Server Certificate Handling,CLI-MSG-CONST,1,"""Clients MUST abort the handshake if the server supplies an empty Certificate message.""",SRV-MSG-PROC,1,"""Servers MUST ensure that they do not send an empty Certificate message to avoid client handshake abort."""
150,4.4.2.4.. Handshake Protocol_Authentication Messages_Certificate_Receiving a Certificate Message,Signature Algorithm Restrictions,CLI-MSG-CONST,1,"""Endpoints MUST abort the handshake with a ""bad_certificate"" alert if they receive a certificate requiring validation using an MD5 hash.""",SRV-MSG-PROC,1,"""Servers MUST reject any certificate using MD5 for validation with a ""bad_certificate"" alert."""
151,4.4.2.4.. Handshake Protocol_Authentication Messages_Certificate_Receiving a Certificate Message,Signature Algorithm Restrictions,CLI-MSG-CONST,1,"""It is RECOMMENDED that endpoints abort the handshake with a ""bad_certificate"" alert if they receive a certificate requiring validation using a SHA-1 hash.""",SRV-MSG-PROC,1,"""Servers are RECOMMENDED to reject certificates validated using SHA-1 with a ""bad_certificate"" alert."""
152,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,CertificateVerify Message Overview,CLI-MSG-CONST/SRV-MSG-CONST,1,"""Clients and servers MUST send a CertificateVerify message when authenticating via a certificate. This message MUST appear immediately after the Certificate message and immediately prior to the Finished message.""",SRV-MSG-PROC/CLI-MSG-PROC,1,"""Servers MUST send a CertificateVerify message when authenticating via a certificate, and clients MUST send this message when the Certificate message is non-empty."""
153,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,Signature Algorithm Requirements,SRV-MSG-CONST,1,"""If the CertificateVerify message is sent by a server, the signature algorithm MUST be one offered in the client's ""signature_algorithms"" extension unless no valid certificate chain can be produced without unsupported algorithms.""",CLI-MSG-PROC,1,"""Clients MUST validate that the signature algorithm used in the CertificateVerify message is one of those present in the supported_signature_algorithms field of the ""signature_algorithms"" extension in the CertificateRequest message."""
154,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,Signature Algorithm Requirements,CLI-MSG-CONST,1,"""If the CertificateVerify message is sent by a client, the signature algorithm used in the signature MUST be one of those present in the supported_signature_algorithms field of the ""signature_algorithms"" extension in the CertificateRequest message.""",SRV-MSG-PROC,1,"""Servers MUST validate that the signature algorithm used in the client's CertificateVerify message corresponds to the supported signature algorithms from the client's CertificateRequest."""
155,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,Signature Algorithm Compatibility,CLI-MSG-CONST,1,"""The signature algorithm MUST be compatible with the key in the sender's end-entity certificate.""",SRV-MSG-PROC,1,"""Servers MUST verify that the signature algorithm used is compatible with the key in the sender's end-entity certificate."""
156,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,Signature Algorithm Compatibility,CLI-MSG-CONST,1,"""RSA signatures MUST use an RSASSA-PSS algorithm, regardless of the presence of RSASSA-PKCS1-v1_5 algorithms in 'signature_algorithms'.""",SRV-MSG-PROC,1,"""Servers MUST ensure that RSA signatures use the RSASSA-PSS algorithm."""
157,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,Signature Algorithm Compatibility,CLI-MSG-CONST,1,"""The SHA-1 algorithm MUST NOT be used in any signatures of CertificateVerify messages.""",SRV-MSG-PROC,1,"""Servers MUST reject CertificateVerify messages that use the SHA-1 algorithm in signatures."""
158,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,Signature Verification Process,SRV-MSG-CONST,1,"""The server MUST verify the signature field in the CertificateVerify message using the specified components.""",SRV-MSG-PROC,1,"""The verification process must use the content covered by the digital signature, the public key from the end-entity certificate, and the digital signature from the CertificateVerify message."""
159,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,Error Handling,SRV-MSG-CONST,1,"""The receiver MUST terminate the handshake if verification fails.""",SRV-MSG-PROC,1,"""Servers MUST send a ""decrypt_error"" alert to terminate the handshake upon verification failure."""
160,4.4.4.. Handshake Protocol_Authentication Messages_Finished,Finished Message Overview,CLI-MSG-CONST,1,"""Clients MUST ensure the Finished message is correctly constructed to provide authentication of the handshake and computed keys.""",SRV-MSG-PROC,1,"""Servers MUST verify the correctness of the Finished message contents and terminate the connection with a ""decrypt_error"" alert if incorrect."""
161,4.4.4.. Handshake Protocol_Authentication Messages_Finished,Post-Finished Message Requirements,CLI-MSG-CONST/SRV-MSG-CONST,1,"""Any records following a Finished message MUST be encrypted under the appropriate application traffic key.""",SRV-MSG-PROC/CLI-MSG-PROC,1,"""Servers MUST ensure that any alerts sent in response to client Certificate and CertificateVerify messages are encrypted under the appropriate application traffic key."""
162,4.5.. Handshake Protocol_End of Early Data,EndOfEarlyData Message Overview,CLI-MSG-CONST,1,"""Clients MUST send an EndOfEarlyData message after receiving the server's Finished if the server sent an 'early_data' extension in EncryptedExtensions.""",SRV-MSG-PROC,1,"""Servers MUST ensure the EndOfEarlyData message is sent only if the 'early_data' extension was included in EncryptedExtensions."""
163,4.5.. Handshake Protocol_End of Early Data,EndOfEarlyData Message Overview,CLI-MSG-CONST,1,"""Clients MUST NOT send an EndOfEarlyData message if the server did not send an 'early_data' extension in EncryptedExtensions.""",SRV-MSG-PROC,1,"""Servers MUST reject any EndOfEarlyData messages received if the 'early_data' extension was not sent."""
164,4.5.. Handshake Protocol_End of Early Data,Message Handling Requirements,SRV-MSG-CONST,1,"""Servers MUST NOT send this message.""",CLI-MSG-PROC,1,"""Clients receiving this message MUST terminate the connection with an 'unexpected_message' alert."""
165,4.5.. Handshake Protocol_End of Early Data,Message Handling Requirements,SRV-MSG-CONST,1,"""This message is encrypted under keys derived from the client_early_traffic_secret.""",CLI-MSG-PROC,0,"""Clients process this message as part of handling early data."""
166,4.6.1.. Handshake Protocol_Post-Handshake Messages_New Session Ticket Message,Ticket Resumption Requirements,CLI-MSG-CONST,1,"""Clients MUST only attempt to resume a session with a cipher suite that uses the same KDF hash algorithm as the original connection.""",SRV-MSG-PROC,1,"""Servers MUST verify that the cipher suite used for resumption matches the KDF hash algorithm of the original session."""
167,4.6.1.. Handshake Protocol_Post-Handshake Messages_New Session Ticket Message,Ticket Resumption Requirements,CLI-MSG-CONST,1,"""Clients MUST only resume if the new SNI value is valid for the server certificate presented in the original session.""",SRV-MSG-PROC,1,"""Servers MUST ensure the new SNI value is valid for the certificate used in the original session."""
