ID,Title,Content,RuleMatch,ExtractedRule,SlicedRule,Violation
50,Version Negotiation with Extension,"If the extension is present in the ClientHello, servers must not use the ClientHello.legacy_version for version negotiation and must rely solely on the ""supported_versions"" extension. They must select only a version present in this extension and ignore any unknown versions.",1,"<CMC> <1> (Clients MUST include the ""supported_versions"" extension for version negotiation.) + <SMP> <1> (Servers MUST rely solely on the ""supported_versions"" extension and must not use ClientHello.legacy_version for version negotiation.)  
<SMC> <1> (Servers MUST select only a version present in the ""supported_versions"" extension.) + <CMP> <1> (Clients MUST ensure only known versions are included in the ""supported_versions"" extension.)","<CMC> <1> (Clients MUST include the ""supported_versions"" extension for version negotiation.) + <SMP> <1> (Servers MUST rely solely on the ""supported_versions"" extension and must not use ClientHello.legacy_version for version negotiation.)","```markdown
{CMC} (Send a ClientHello message without the ""supported_versions"" extension.)

{CMC} (Send a ClientHello message with an invalid ""supported_versions"" extension containing unsupported or malformed version numbers.)

{CMC} (Send a ClientHello message with multiple ""supported_versions"" extensions, violating the one-extension rule for version negotiation.)
```"
,,,,,"<SMC> <1> (Servers MUST select only a version present in the ""supported_versions"" extension.) + <CMP> <1> (Clients MUST ensure only known versions are included in the ""supported_versions"" extension.)","```markdown
{CMC} (Include an unsupported TLS version in the ""supported_versions"" extension, such as TLS 1.2, when initiating the ClientHello message.)
{CMC} (Omit the ""supported_versions"" extension entirely from the ClientHello message.)
{CMC} (Send a ""supported_versions"" extension that includes a duplicate version number, violating the uniqueness requirement.)
```"
51,Server Response Based on Negotiated Version,"A server negotiating a version prior to TLS 1.3 must set ServerHello.version and not send the ""supported_versions"" extension. If negotiating TLS 1.3, the server must send a ""supported_versions"" extension with the selected version value (0x0304) and set ServerHello.legacy_version to 0x0303 (TLS 1.2). Clients must check for this extension before processing the rest of the ServerHello.",1,"```
<SMC> <1> (Servers MUST set ServerHello.version to a version prior to TLS 1.3 and not send the ""supported_versions"" extension when negotiating that version.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)
<SMC> <1> (Servers MUST send a ""supported_versions"" extension with the selected version value (0x0304) when negotiating TLS 1.3.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)
<SMC> <1> (Servers MUST set ServerHello.legacy_version to 0x0303 (TLS 1.2) when negotiating TLS 1.3.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)
```","<SMC> <1> (Servers MUST set ServerHello.version to a version prior to TLS 1.3 and not send the ""supported_versions"" extension when negotiating that version.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)","```markdown
{CMC} (Send a ClientHello message with a ""supported_versions"" extension that includes versions not supported by the server.)

{CMC} (Send a ClientHello message with an empty ""supported_versions"" extension.)

{CMC} (Send a ClientHello message with the version set to TLS 1.2 when negotiating with a server that only supports TLS 1.3.)
```"
,,,,,"<SMC> <1> (Servers MUST send a ""supported_versions"" extension with the selected version value (0x0304) when negotiating TLS 1.3.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)","```markdown
{CMC} (Send a ClientHello message without the ""supported_versions"" extension, violating the expected format for TLS 1.3 negotiation.)
{CMC} (Include an invalid version value (e.g., 0x0302) in the ""supported_versions"" extension of the ClientHello message.)
{CMC} (Send a malformed ""supported_versions"" extension that contains a length field greater than the actual number of versions provided.)
```"
,,,,,"<SMC> <1> (Servers MUST set ServerHello.legacy_version to 0x0303 (TLS 1.2) when negotiating TLS 1.3.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)","```markdown
{CMC} (Send a ClientHello without the ""supported_versions"" extension, thereby failing to adhere to the required negotiation process for TLS 1.3.)

{CMC} (Include an unsupported version in the ""supported_versions"" extension, such as 0x0302 (TLS 1.1), violating the specification that only TLS 1.3 versions should be listed.)

{CMC} (Send an invalid ""client_version"" field in the ClientHello, such as 0x0000, which is not a valid version for TLS 1.3.)
```"
52,Client Validation of Selected Version,"If the ""supported_versions"" extension in the ServerHello contains a version not offered by the client or a version prior to TLS 1.3, the client must abort the handshake with an ""illegal_parameter"" alert.",1,"<CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the ""supported_versions"" extension in the ServerHello contains a version not offered by the client.) + <SMC> <1> (Servers MUST include only versions offered by the client in the ""supported_versions"" extension in the ServerHello.)  
<CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the ""supported_versions"" extension contains a version prior to TLS 1.3.) + <SMC> <1> (Servers MUST NOT include versions prior to TLS 1.3 in the ""supported_versions"" extension in the ServerHello.)","<CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the ""supported_versions"" extension in the ServerHello contains a version not offered by the client.) + <SMC> <1> (Servers MUST include only versions offered by the client in the ""supported_versions"" extension in the ServerHello.)","```markdown
{CMC} (Send a ClientHello with an empty ""supported_versions"" extension, violating the requirement to offer at least one version.)

{CMC} (Send a ClientHello with a ""supported_versions"" extension that includes a version not supported by the server.)

{CMC} (Send a ClientHello with malformed syntax in the ""supported_versions"" extension (e.g., incorrect length field).)
```"
,,,,,"<CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the ""supported_versions"" extension contains a version prior to TLS 1.3.) + <SMC> <1> (Servers MUST NOT include versions prior to TLS 1.3 in the ""supported_versions"" extension in the ServerHello.)","```markdown
{CMC} (Send a ClientHello with the ""supported_versions"" extension containing a version prior to TLS 1.3, without aborting the handshake.)
{CMC} (Include an invalid ""supported_versions"" extension format in the ClientHello that does not conform to the expected structure.)
{CMC} (Send a ClientHello with the ""supported_versions"" extension containing duplicate entries for the same version.)
```"
53,Cookie Structure Definition,The cookie structure is defined as an opaque value of size between 1 and 65535 bytes.,0,Skip,Skip,Skip
54,Purpose of Cookies,"Cookies serve two primary purposes: enabling the server to require the client to demonstrate reachability for DoS protection and allowing the server to offload state to the client, facilitating a HelloRetryRequest without storing state.",0,Skip,Skip,Skip
55,HelloRetryRequest and Cookie Extension,"When sending a HelloRetryRequest, the server may provide a ""cookie"" extension, deviating from the usual rule that only ClientHello extensions may be sent.",0,Skip,Skip,Skip
56,ClientHello Cookie Requirement,The client must include the cookie extension received in the HelloRetryRequest in the new ClientHello. Clients must not use cookies in their initial ClientHello for subsequent connections.,1,"<CMC> <1> (Clients MUST include the cookie extension received in the HelloRetryRequest in the new ClientHello.) + <SMP> <1> (Servers MUST accept the cookie extension included in the new ClientHello.)  
<CMC> <1> (Clients MUST NOT use cookies in their initial ClientHello for subsequent connections.) + <SMP> <0> (Servers MUST not expect cookies in the initial ClientHello for subsequent connections.)",<CMC> <1> (Clients MUST include the cookie extension received in the HelloRetryRequest in the new ClientHello.) + <SMP> <1> (Servers MUST accept the cookie extension included in the new ClientHello.),"```markdown
{CMC} (Send a ClientHello that omits the cookie extension received in the HelloRetryRequest, violating the requirement to include it.)

{CMC} (Send a ClientHello with an invalid format for the cookie extension, such as a non-hexadecimal string.)

{CMC} (Send a ClientHello with multiple cookie extensions, which contradicts the specification that only one cookie extension should be present.)
```"
,,,,,<CMC> <1> (Clients MUST NOT use cookies in their initial ClientHello for subsequent connections.) + <SMP> <0> (Servers MUST not expect cookies in the initial ClientHello for subsequent connections.),"```markdown
{CMC} (Include a session cookie in the initial ClientHello message for a new connection, violating the spec that disallows cookies in this context.)
{CMC} (Send a ClientHello message with an invalid or malformed cookie format, which is not acceptable according to the RFC.)
{CMC} (Omit the mandatory `client_version` field in the ClientHello message while including a cookie, violating the requirement for proper message structure.)
```"
57,Stateless Server Behavior,"A stateless server may receive an unprotected record of type change_cipher_spec between ClientHello messages and must ignore these records, as it does not retain any state.",1,"<SMC> <1> (Servers MUST ignore unprotected change_cipher_spec records received between ClientHello messages, as they do not retain state.) + <CMP> <0> (Clients MAY send unprotected change_cipher_spec records between ClientHello messages, but servers MUST ignore them.)","<SMC> <1> (Servers MUST ignore unprotected change_cipher_spec records received between ClientHello messages, as they do not retain state.) + <CMP> <0> (Clients MAY send unprotected change_cipher_spec records between ClientHello messages, but servers MUST ignore them.)","```markdown
{CMC} (Send an unprotected change_cipher_spec record as a first message, violating the expectation of a ClientHello.)
{CMC} (Send multiple ClientHello messages without waiting for a server response, violating proper state management.)
{CMC} (Send a ClientHello message with an invalid or unsupported cipher suite that is not listed in the supported groups.)
```"
58,Signature Algorithm Extensions in TLS 1.3,"TLS 1.3 provides two extensions for indicating which signature algorithms may be used in digital signatures: ""signature_algorithms_cert"" for certificate signatures and ""signature_algorithms"" for CertificateVerify messages.",0,Skip,Skip,Skip
59,Key Compatibility Requirement,"The keys found in certificates must be of appropriate type for the signature algorithms used, particularly concerning RSA keys and PSS signatures.",1,"<SMC> <1> (Servers MUST ensure that the keys found in certificates are of appropriate type for the signature algorithms used.) + <CMP> <0> (Clients MUST use appropriate key types that match the signature algorithms, particularly for RSA keys and PSS signatures.)","<SMC> <1> (Servers MUST ensure that the keys found in certificates are of appropriate type for the signature algorithms used.) + <CMP> <0> (Clients MUST use appropriate key types that match the signature algorithms, particularly for RSA keys and PSS signatures.)","```markdown
{CMC} (Send a ClientHello with an RSA key but use a signature algorithm that requires ECDSA keys.)

{CMC} (Include a key type in the ClientHello that is not supported by the server's offered cipher suites.)

{CMC} (Send a ClientHello with an invalid key type that does not match any of the signature algorithms in the server's Certificate.)
```"
60,Client Authentication Requirement,"Clients desiring server authentication via a certificate must send the ""signature_algorithms"" extension; otherwise, the server must abort the handshake with a ""missing_extension"" alert.",1,"<CMC> <1> (Clients MUST send the ""signature_algorithms"" extension for server authentication via a certificate.) + <SMP> <1> (Servers MUST abort the handshake with a ""missing_extension"" alert if the ""signature_algorithms"" extension is not present.)","<CMC> <1> (Clients MUST send the ""signature_algorithms"" extension for server authentication via a certificate.) + <SMP> <1> (Servers MUST abort the handshake with a ""missing_extension"" alert if the ""signature_algorithms"" extension is not present.)","```markdown
{CMC} (Send a ClientHello message without the ""signature_algorithms"" extension to violate the requirement for server authentication.)

{CMC} (Include an empty ""signature_algorithms"" extension in the ClientHello message to incorrectly signal the absence of supported algorithms.)

{CMC} (Send a ClientHello message with an invalidly formatted ""signature_algorithms"" extension that does not conform to the expected structure.)
```"
61,"Purpose of ""signature_algorithms_cert""","The ""signature_algorithms_cert"" extension allows implementations to clearly signal their capabilities regarding different sets of algorithms for certificates and TLS.",0,Skip,Skip,Skip
62,SignatureScheme List Structure,"The ""extension_data"" field of these extensions contains a SignatureSchemeList value, which lists supported signature algorithms in descending order of preference.",0,Skip,Skip,Skip
63,Signature Algorithm Types and Descriptions,"Various signature algorithms are defined, including RSASSA-PKCS1-v1_5, ECDSA, and EdDSA, each with specific requirements regarding their use and parameters.",0,Skip,Skip,Skip
64,Deprecation of Legacy Algorithms,"Legacy algorithms using SHA-1 are being deprecated; clients must list these as lower priority, and TLS 1.3 servers must not offer SHA-1 signed certificates unless unavoidable.",1,<CMC> <1> (Clients MUST list SHA-1 algorithms as lower priority.) + <SMP> <1> (Servers MUST NOT offer SHA-1 signed certificates unless unavoidable.),<CMC> <1> (Clients MUST list SHA-1 algorithms as lower priority.) + <SMP> <1> (Servers MUST NOT offer SHA-1 signed certificates unless unavoidable.),"```markdown
{CMC} (Include SHA-1 algorithms as the highest priority in the ClientHello message.)

{CMC} (Send a ClientHello message that omits all supported signature algorithms, including SHA-1.)

{CMC} (Send a ClientHello message with an invalid list of signature algorithms, such as repeating the same algorithm multiple times.)
```"
65,Self-Signed Certificate Validation,"Signatures on self-signed certificates or trust anchors are not validated, as they initiate a certification path and may use unsupported signature algorithms.",0,Skip,Skip,Skip
66,Compatibility with TLS 1.2,"TLS 1.3 implementations negotiating TLS 1.2 must adhere to its requirements, including the ability to negotiate without the ""signature_algorithms"" extension and accept legacy signature pairs.",1,"<SMC> <1> (Servers negotiating TLS 1.2 MUST adhere to its requirements, including the ability to accept legacy signature pairs.) + <CMP> <1> (Clients negotiating TLS 1.2 MUST adhere to its requirements, including the ability to negotiate without the ""signature_algorithms"" extension.)","<SMC> <1> (Servers negotiating TLS 1.2 MUST adhere to its requirements, including the ability to accept legacy signature pairs.) + <CMP> <1> (Clients negotiating TLS 1.2 MUST adhere to its requirements, including the ability to negotiate without the ""signature_algorithms"" extension.)","```markdown
{CMC} (Send a ClientHello message without the required ""supported_versions"" field for TLS 1.3.)

{CMC} (Send a ClientHello message with an invalid ""cipher_suites"" list that includes cipher suites not defined for TLS 1.3.)

{CMC} (Send a ClientHello message that omits the mandatory ""extensions"" field entirely.)
```"
67,Certificate Authorities Extension Purpose,"The ""certificate_authorities"" extension is used to indicate the certificate authorities (CAs) which an endpoint supports and which should guide certificate selection by the receiving endpoint.",0,Skip,Skip,Skip
68,Certificate Authorities Extension Structure,"The body of the ""certificate_authorities"" extension consists of a CertificateAuthoritiesExtension structure, which includes a list of distinguished names of acceptable certificate authorities.",0,Skip,Skip,Skip
69,Distinguished Name Representation,"The authorities are represented in DER-encoded format and specify desired distinguished names for trust anchors or subordinate CAs, helping to describe known trust anchors and authorization spaces.",0,Skip,Skip,Skip
70,Client and Server Usage,"The client may send the ""certificate_authorities"" extension in the ClientHello message, while the server may send it in the CertificateRequest message.",0,Skip,Skip,Skip
71,Non-usage of Trusted CA Keys Extension,"The ""trusted_ca_keys"" extension, which serves a similar purpose but is more complicated, is not used in TLS 1.3, although it may appear in ClientHello messages from clients offering prior versions of TLS.",0,Skip,Skip,Skip
72,OID Filters Purpose,"The ""oid_filters"" extension allows servers to provide a set of OID/value pairs that the client's certificate should match. This extension must only be sent in the CertificateRequest message if provided by the server.",1,"<SMC> <1> (Servers MUST send the ""oid_filters"" extension in the CertificateRequest message only if provided.) + <CMP> <1> (Clients MUST match their certificate against the OID/value pairs provided in the ""oid_filters"" extension.)","<SMC> <1> (Servers MUST send the ""oid_filters"" extension in the CertificateRequest message only if provided.) + <CMP> <1> (Clients MUST match their certificate against the OID/value pairs provided in the ""oid_filters"" extension.)","```markdown
{CMC} (Send a ClientHello message without any certificate, even when the server expects a certificate based on the ""oid_filters"" extension.)

{CMC} (Include an ""oid_filters"" extension in the ClientHello with invalid OID values that do not match any known certificate.)

{CMC} (Omit the ""Client Certificate"" field entirely while the server specifies that a certificate is required based on the ""oid_filters"" extension.)
```"
73,OIDFilter Structure,"The OIDFilter structure consists of two fields: `certificate_extension_oid` and `certificate_extension_values`, which represent the OID and its corresponding values.",0,Skip,Skip,Skip
74,Filters List Requirement,"Filters must be a list of certificate extension OIDs with their allowed values in DER-encoded format. If the server includes a non-empty filters list, the client certificate must contain all specified extension OIDs that the client recognizes.",1,<SMC> <1> (Servers MUST include a non-empty filters list of certificate extension OIDs with allowed values in DER-encoded format.) + <CMP> <1> (Clients MUST ensure that the client certificate contains all specified extension OIDs that they recognize.),<SMC> <1> (Servers MUST include a non-empty filters list of certificate extension OIDs with allowed values in DER-encoded format.) + <CMP> <1> (Clients MUST ensure that the client certificate contains all specified extension OIDs that they recognize.),"```markdown
{CMC} (Send a ClientHello message that includes an empty certificate extension OIDs list, violating the requirement for a non-empty filters list.)

{CMC} (Send a ClientHello message with certificate extensions that contain OIDs not recognized by the server, thus failing the requirement to ensure all specified OIDs are recognized.)

{CMC} (Send a ClientHello message that completely omits the certificate extension field, violating the explicit requirement for including recognized OIDs.)
```"
75,Client Certificate Validation,"For each recognized extension OID, all specified values must be present in the client certificate. The client may include additional values but must ignore unrecognized OIDs.",1,<CMC> <1> (Clients MUST include all specified values for recognized extension OIDs in the client certificate.) + <SMP> <0> (Servers MUST accept client certificates that include additional values but ignore unrecognized OIDs.),<CMC> <1> (Clients MUST include all specified values for recognized extension OIDs in the client certificate.) + <SMP> <0> (Servers MUST accept client certificates that include additional values but ignore unrecognized OIDs.),"```markdown
{CMC} (Include an unrecognized extension OID in the client certificate that exceeds the maximum allowed length according to RFC 8446.)

{CMC} (Omit the required ""signature"" field in the client certificate when sending the ClientHello.)

{CMC} (Send a ClientHello with a client certificate that has an invalid or malformed public key structure.)
```"
76,Server Actions on Mismatch,"If the client ignores required extension OIDs and provides a non-compliant certificate, the server may either continue without client authentication or abort the handshake with an ""unsupported_certificate"" alert.",1,"<CMC> <1> (Clients MUST NOT ignore required extension OIDs and MUST provide a compliant certificate.) + <SMP> <1> (Servers MAY continue without client authentication if required extensions are ignored.)  
<CMC> <1> (Clients MUST NOT provide a non-compliant certificate.) + <SMP> <1> (Servers MAY abort the handshake with an ""unsupported_certificate"" alert if a non-compliant certificate is provided.)",<CMC> <1> (Clients MUST NOT ignore required extension OIDs and MUST provide a compliant certificate.) + <SMP> <1> (Servers MAY continue without client authentication if required extensions are ignored.),"```markdown
{CMC} (Send a ClientHello message with missing required extension OIDs, such as not including the supported_versions extension.)

{CMC} (Construct a ClientHello message that includes an invalid or malformed certificate extension that does not conform to expected formats.)

{CMC} (Send a ClientHello where the certificate presented contains unsupported algorithms or key types, violating compliance with the server's expectations.)
```"
,,,,,"<CMC> <1> (Clients MUST NOT provide a non-compliant certificate.) + <SMP> <1> (Servers MAY abort the handshake with an ""unsupported_certificate"" alert if a non-compliant certificate is provided.)","```markdown
{CMC} (Provide a self-signed certificate that lacks the required extensions specified in RFC 8446.)

{CMC} (Send a certificate with an unsupported signature algorithm that is explicitly disallowed by the TLS 1.3 specification.)

{CMC} (Include a certificate chain that contains certificates with invalid expiration dates, making them non-compliant with the certificate validation requirements.)
```"
77,Unique OID Requirement,Each OID must not appear more than once in the filters list.,1,<CMC> <1> (Clients MUST ensure that each OID appears only once in the filters list.) + <SMP> <0> (Servers MUST reject the filters list if an OID appears more than once.),<CMC> <1> (Clients MUST ensure that each OID appears only once in the filters list.) + <SMP> <0> (Servers MUST reject the filters list if an OID appears more than once.),"```markdown
{CMC} (Include multiple identical OIDs in the filters list of the ClientHello message.)

{CMC} (Omit the filters list entirely from the ClientHello message, violating the requirement to include it when necessary.)

{CMC} (Send a ClientHello where the filters list contains invalid OIDs that are not recognized or supported.)
```"
78,PKI Library Dependency,TLS implementations are expected to rely on their PKI libraries to perform certificate selection using the defined OID filters.,0,Skip,Skip,Skip
79,Matching Rules for Key Usages,"The document defines matching rules for the Key Usage and Extended Key Usage extensions, requiring that all asserted bits or OIDs in the request be present in the corresponding certificate extensions.",0,Skip,Skip,Skip
80,Exclusion of anyExtendedKeyUsage,The special anyExtendedKeyUsage OID must not be used in the request for Extended Key Usage.,1,<CMC> <1> (Clients MUST NOT use the special anyExtendedKeyUsage OID in the request for Extended Key Usage.) + <SMP> <0> (Servers MUST reject requests that include the anyExtendedKeyUsage OID in Extended Key Usage.),<CMC> <1> (Clients MUST NOT use the special anyExtendedKeyUsage OID in the request for Extended Key Usage.) + <SMP> <0> (Servers MUST reject requests that include the anyExtendedKeyUsage OID in Extended Key Usage.),"```markdown
{CMC} (Include the anyExtendedKeyUsage OID in the Extended Key Usage extension of the ClientHello message)

{CMC} (Send a ClientHello message that contains an invalid or malformed Extended Key Usage extension)

{CMC} (Omit the mandatory Server Name Indication (SNI) extension from the ClientHello message while including anyExtendedKeyUsage OID)
```"
81,Potential for Additional Specifications,Separate specifications may define matching rules for other certificate extensions.,0,Skip,Skip,Skip
82,Post-Handshake Authentication Extension Purpose,"The ""post_handshake_auth"" extension indicates that a client is willing to perform post-handshake authentication (Section 4.6.2).",0,Skip,Skip,Skip
83,Server Requirements for Post-Handshake Authentication,Servers must not send a post-handshake CertificateRequest to clients that do not offer this extension.,1,<SMC> <1> (Servers MUST NOT send a post-handshake CertificateRequest to clients that do not offer this extension.) + <CMP> <0> (Clients MUST offer the extension to receive a post-handshake CertificateRequest.),<SMC> <1> (Servers MUST NOT send a post-handshake CertificateRequest to clients that do not offer this extension.) + <CMP> <0> (Clients MUST offer the extension to receive a post-handshake CertificateRequest.),"```markdown
{CMC} (Send a ClientHello without the expected post-handshake CertificateRequest extension when the server is configured to request it.)

{CMC} (Send a ClientHello that includes an invalid value for the post-handshake CertificateRequest extension.)

{CMC} (Send a ClientHello with an unsupported cipher suite that the server cannot accept, leading to a CertificateRequest being sent.)
```"
84,Prohibition of Extension by Servers,Servers must not send this extension.,1,<SMC> <1> (Servers MUST NOT send this extension.) + <CMP> <0> (Clients MUST ignore this extension if received.),<SMC> <1> (Servers MUST NOT send this extension.) + <CMP> <0> (Clients MUST ignore this extension if received.),"```markdown
{CMC} (Send a ClientHello message containing a prohibited extension that the server must not send, violating the server's constraints.)

{CMC} (Send a ClientHello message with an invalid or malformed format for an allowed extension that the server is required to ignore.)

{CMC} (Send a ClientHello without mandatory fields that should correlate with the prohibited extension, causing protocol confusion.)
```"
85,Post-Handshake Auth Structure,"The ""extension_data"" field of the ""post_handshake_auth"" extension is zero length.",0,Skip,Skip,Skip
86,Supported Groups Extension,"When sent by the client, the ""supported_groups"" extension indicates the named groups which the client supports for key exchange, ordered from most preferred to least preferred.",0,Skip,Skip,Skip
87,Historical Context,"In versions of TLS prior to TLS 1.3, this extension was named ""elliptic_curves"" and only contained elliptic curve groups.",0,Skip,Skip,Skip
88,Signature Algorithms Negotiation,"Signature algorithms are now negotiated independently, as described in Section 4.2.3.",0,Skip,Skip,Skip
89,NamedGroupList Structure,"The ""extension_data"" field of this extension contains a ""NamedGroupList"" value, which includes elliptic curve groups (ECDHE) and finite field groups (DHE).",0,Skip,Skip,Skip
90,Elliptic Curve Groups,Elliptic Curve Groups (ECDHE) indicate support for named curves defined in FIPS 186-4 or RFC 7748.,0,Skip,Skip,Skip
91,Finite Field Groups,Finite Field Groups (DHE) indicate support for finite field groups defined in RFC 7919.,0,Skip,Skip,Skip
92,Order of Preferences,"Items in named_group_list are ordered according to the sender's preferences, with the most preferred choice first.",0,Skip,Skip,Skip
93,Server Behavior in TLS 1.3,"As of TLS 1.3, servers may send the ""supported_groups"" extension to the client, and clients must not act on this information until the handshake is complete.",1,"<SMC> <1> (Servers MAY send the ""supported_groups"" extension to the client.) + <CMP> <1> (Clients MUST NOT act on the ""supported_groups"" information until the handshake is complete.)","<SMC> <1> (Servers MAY send the ""supported_groups"" extension to the client.) + <CMP> <1> (Clients MUST NOT act on the ""supported_groups"" information until the handshake is complete.)","```markdown
{CMC} (Send a ClientHello message with a malformed ""supported_groups"" extension that includes an unsupported group identifier.)

{CMC} (Omit the ""supported_groups"" extension entirely from the ClientHello message, even though the server has sent it.)

{CMC} (Include multiple ""supported_groups"" extensions in the ClientHello message, which violates the protocol's constraints on extension uniqueness.)
```"
94,Updating Client Preferences,"If the server has a preferred group not in the client's ""key_share"" extension but is still willing to accept the ClientHello, it should send ""supported_groups"" to update the client’s view of its preferences.",0,Skip,Skip,Skip
95,Key Share Extension Overview,"The ""key_share"" extension contains the endpoint's cryptographic parameters and allows clients to send an empty client_shares vector to request group selection from the server, incurring an additional round trip.",0,Skip,Skip,Skip
96,KeyShareEntry Structure,The KeyShareEntry structure includes a named group for the key being exchanged and key exchange information determined by the specified group.,0,Skip,Skip,Skip
97,ClientHello Key Share Data,"In the ClientHello message, the ""extension_data"" field contains a ""KeyShareClientHello"" value, which includes a list of offered KeyShareEntry values in descending order of client preference.",0,Skip,Skip,Skip
98,Empty Client Shares for HelloRetryRequest,"The client_shares vector may be empty if the client is requesting a HelloRetryRequest, but each KeyShareEntry must correspond to a group in the ""supported_groups"" extension.",1,"<CMC> <1> (Clients MAY have an empty client_shares vector when requesting a HelloRetryRequest.) + <SMP> <1> (Servers MUST ensure that each KeyShareEntry corresponds to a group in the ""supported_groups"" extension.)","<CMC> <1> (Clients MAY have an empty client_shares vector when requesting a HelloRetryRequest.) + <SMP> <1> (Servers MUST ensure that each KeyShareEntry corresponds to a group in the ""supported_groups"" extension.)","```markdown
{CMC} (Send a ClientHello with a non-empty client_shares vector when requesting a HelloRetryRequest, contradicting the allowance for an empty vector.)

{CMC} (Include an unsupported group in the client_shares vector, violating the requirement for corresponding groups in the ""supported_groups"" extension.)
```"
99,Offering Multiple KeyShareEntries,"Clients can offer multiple KeyShareEntry values for supported groups, but each value must be generated independently, and clients must not offer duplicates or invalid groups.",1,"<CMC> <1> (Clients MAY offer multiple KeyShareEntry values for supported groups, but each value MUST be generated independently.) + <SMP> <0> (Servers MUST verify that KeyShareEntry values are not duplicates or invalid groups.)  
<CMC> <1> (Clients MUST NOT offer duplicates or invalid groups in KeyShareEntry values.) + <SMP> <0> (Servers MUST reject KeyShareEntry values that are duplicates or invalid groups.)","<CMC> <1> (Clients MAY offer multiple KeyShareEntry values for supported groups, but each value MUST be generated independently.) + <SMP> <0> (Servers MUST verify that KeyShareEntry values are not duplicates or invalid groups.)","```markdown
{CMC} (Send a ClientHello with multiple KeyShareEntry values that are identical, violating the requirement for independent generation.)

{CMC} (Send a ClientHello with a KeyShareEntry that uses an unsupported group, which the server cannot verify.)

{CMC} (Send a ClientHello where the KeyShareEntry values are out of order, which disrupts the expected structure of the message.)
```"
,,,,,<CMC> <1> (Clients MUST NOT offer duplicates or invalid groups in KeyShareEntry values.) + <SMP> <0> (Servers MUST reject KeyShareEntry values that are duplicates or invalid groups.),"```markdown
{CMC} (Include multiple identical KeyShareEntry values in the ClientHello message.)

{CMC} (Offer a KeyShareEntry with a group value that is not supported by the server, such as a non-existent group ID.)

{CMC} (Send a ClientHello with an empty KeyShareExtension, violating the requirement to provide at least one KeyShareEntry.)
```"
100,HelloRetryRequest Handling,"In a HelloRetryRequest, the ""extension_data"" contains a KeyShareHelloRetryRequest value indicating the mutually supported group for negotiation. The client must verify that the selected group is valid before retrying.",1,<CMC> <1> (Clients MUST verify that the selected group in the KeyShareHelloRetryRequest is valid before retrying.) + <SMP> <0> (Servers MUST accept the KeyShareHelloRetryRequest containing a valid group for negotiation.),<CMC> <1> (Clients MUST verify that the selected group in the KeyShareHelloRetryRequest is valid before retrying.) + <SMP> <0> (Servers MUST accept the KeyShareHelloRetryRequest containing a valid group for negotiation.),"```markdown
{CMC} (Send a KeyShareHelloRetryRequest with an invalid group that the client has not verified.)

{CMC} (Omit the KeyShareHelloRetryRequest entirely after receiving a HelloRetryRequest from the server.)

{CMC} (Alter the KeyShareHelloRetryRequest to include a group not supported by the client's algorithm preferences.)
```"
101,ServerHello Key Share Data,"In a ServerHello message, the ""extension_data"" includes a KeyShareServerHello value, which consists of a single KeyShareEntry that matches the client's selected group.",0,Skip,Skip,Skip
102,Validation of Key Share in ServerHello,Servers must verify that the KeyShareEntry aligns with the client's supported groups and must not send entries for unsupported groups or in incompatible modes.,1,"<SMC> <1> (Servers MUST verify that the KeyShareEntry aligns with the client's supported groups.) + <CMP> <1> (Clients MUST ensure that supported groups are included in the KeyShareEntry.)  
<SMC> <1> (Servers MUST NOT send KeyShareEntry for unsupported groups.) + <CMP> <0> (Clients MUST process only KeyShareEntries that are for supported groups.)  
<SMC> <1> (Servers MUST NOT send KeyShareEntry in incompatible modes.) + <CMP> <0> (Clients MUST reject any KeyShareEntry that is in an incompatible mode.)  ",<SMC> <1> (Servers MUST verify that the KeyShareEntry aligns with the client's supported groups.) + <CMP> <1> (Clients MUST ensure that supported groups are included in the KeyShareEntry.),"```markdown
{CMC} (Send a ClientHello with a KeyShareEntry that includes a group not listed in the supported groups.)
{CMC} (Send a ClientHello with an empty KeyShareEntry, violating the requirement to include supported groups.)
{CMC} (Send a ClientHello with multiple KeyShareEntries including duplicates of unsupported groups.)
```"
,,,,,<SMC> <1> (Servers MUST NOT send KeyShareEntry for unsupported groups.) + <CMP> <0> (Clients MUST process only KeyShareEntries that are for supported groups.),"```markdown
{CMC} (Send a ClientHello that includes a KeyShareEntry for an unsupported group, violating the server's requirement to not send such entries.)
{CMC} (Send a ClientHello with multiple KeyShareEntries, where one entry has an invalid format, violating the specification for KeyShare construction.)
```"
