//----- (0000000140148958) ----------------------------------------------------
__int64 __fastcall ParseInputString(int a1, char *a2, _QWORD *a3)
{
  unsigned int v6; // edi
                  while ( String[1][v60] );
                  if ( v60 != 2 )
                  {
LABEL_216:
                    operator delete(v49);
                    v111 = WPP_GLOBAL_Control;
                    if ( WPP_GLOBAL_Control == (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                      || (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) == 0
                      || *((_BYTE *)WPP_GLOBAL_Control + 65) < 2u )
                    {
                      goto LABEL_308;
                    }
                    v112 = 121;
                    goto LABEL_214;
                  }
                  if ( !iswdigit(v58) || !iswdigit(String[0][1]) || !iswdigit(*String[1]) || !iswdigit(String[1][1]) )
                  {
                    operator delete(v49);
                    v111 = WPP_GLOBAL_Control;
                    if ( WPP_GLOBAL_Control == (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                      || (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) == 0
                      || *((_BYTE *)WPP_GLOBAL_Control + 65) < 2u )
                    {
                      goto LABEL_308;
                    }
                    v112 = 122;
                    goto LABEL_214;
                  }
                  v49[12] = _wtoi(String[0]);
                  v61 = _wtoi(String[1]);
                  v62 = v49[12];
                  v63 = v61;
                  v49[13] = v61;
                  if ( v49[4] > v62 || v49[4] == v62 && v49[5] >= v61 )
                  {
                    if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                      && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                      && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                    {
                      WPP_SF_dddd(
                        *((_QWORD *)WPP_GLOBAL_Control + 7),
                        0x7Bu,
                        (__int64)&WPP_42dbba61d26d3062f1ad4e084cdc81fe_Traceguids,
                        (unsigned __int16)v49[4]);
                    }
                    v6 = 9996;
                    operator delete(v49);
                    goto LABEL_309;
                  }
                  v64 = 15;
                  if ( dword_1401B9A3C )
                    v64 = dword_1401B9A3C;
                  v65 = v64;
                  v66 = v64 * ((unsigned __int16)v49[5] / (int)v64);
                  v67 = v61;
                  v49[5] = v66;
                  v68 = v61 / v65;
                  if ( v63 % v65 )
                    v67 = v65 * (v68 + 1);
                  v49[13] = v67;
                  if ( v67 == 60 )
                  {
                    v49[13] = 0;
                    v49[12] = v62 + 1;
                  }
                  ++v42;
                  *(_QWORD *)(*(_QWORD *)((char *)v48 + v8[1] + 8) + 8i64 * v118++) = v49;
                  if ( v42 == (const wchar_t **)v135[v38] )
                    goto LABEL_117;
                }
                operator delete(v49);
                v111 = WPP_GLOBAL_Control;
                if ( WPP_GLOBAL_Control == (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                  || (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) == 0
                  || *((_BYTE *)WPP_GLOBAL_Control + 65) < 2u )
                {
                  goto LABEL_308;
                }
                v112 = 118;
LABEL_214:
                WPP_SF_SS(
                  *((_QWORD *)v111 + 7),
                  v112,
                  (__int64)&WPP_42dbba61d26d3062f1ad4e084cdc81fe_Traceguids,
                  String[0],
                  (__int64)String[1]);
                goto LABEL_308;
              }
              break;
          }
LABEL_117:
          v37 = (char *)v130 + 1;
          LODWORD(v133) = (_DWORD)v133 + 1;
          v130 = (wchar_t *)((char *)v130 + 1);
          if ( (unsigned int)v133 >= 2 )
            goto LABEL_294;
        }
        v105 = 8i64 * ((unsigned int)((v135[v38] - v135[v38 - 1]) >> 3) - 1);
        v128 = ((v135[v38] - v135[v38 - 1]) >> 3) - 1;
        v106 = 2i64 * (_QWORD)v41;
        *(_QWORD *)(v8[1] + 8 * v106 + 8) = operator new[](v105, (const struct std::nothrow_t *)&std::nothrow);
        v107 = v8[1];
        if ( *(_QWORD *)(v107 + 8 * v106 + 8) )
        {
          *(_DWORD *)(v107 + 8 * v106 + 4) = v128;
          memset_0(*(void **)(v8[1] + 8 * v106 + 8), 0, v105);
          for ( k = 0; ; ++k )
          {
            if ( v42 == (const wchar_t **)v135[v38] )
              goto LABEL_117;
            v108 = (char *)operator new(0x28ui64);
            if ( v108 )
            {
              v109 = (wchar_t *)*v42;
              v110 = -1i64;
              *((_QWORD *)v108 + 3) = 7i64;
              *((_QWORD *)v108 + 2) = 0i64;
              *(_WORD *)v108 = 0;
              do
                ++v110;
              while ( v109[v110] );
              std::wstring::assign(v108, (char *)v109, v110);
            }
            else
            {
              v108 = 0i64;
            }
            if ( !v108 )
              break;
            ++v42;
            *(_QWORD *)(*(_QWORD *)(v8[1] + 8 * v106 + 8) + 8i64 * k) = v108;
          }
          v115 = WPP_GLOBAL_Control;
          if ( WPP_GLOBAL_Control == (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
            || (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) == 0
            || *((_BYTE *)WPP_GLOBAL_Control + 65) < 2u )
          {
            goto LABEL_241;
          }
          v116 = 110;
        }
        else
        {
          v115 = WPP_GLOBAL_Control;
          if ( WPP_GLOBAL_Control == (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
            || (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) == 0
            || *((_BYTE *)WPP_GLOBAL_Control + 65) < 2u )
          {
            goto LABEL_241;
          }
          v116 = 109;
        }
LABEL_251:
        WPP_SF_(*((_QWORD *)v115 + 7), v116, (__int64)&WPP_42dbba61d26d3062f1ad4e084cdc81fe_Traceguids);
        goto LABEL_241;
      }
    }
    if ( !a1 )
    {
LABEL_13:
      v6 = 9990;
      goto LABEL_309;
    }
    v15 = a1 == 1;
  }
  if ( v15 )
  {
    v6 = 9991;
    goto LABEL_309;
  }
  switch ( a1 )
  {
    case 2:
      v6 = 9992;
      goto LABEL_309;
    case 3:
      v6 = 9993;
      goto LABEL_309;
    case 4:
      goto LABEL_304;
    case 5:
      v6 = 9995;
      goto LABEL_309;
    case 6:
      goto LABEL_308;
  }
LABEL_310:
  if ( v141 >= 8 )
    operator delete(v139[0]);
  v141 = 7i64;
  v140 = 0i64;
  LOWORD(v139[0]) = 0;
  `eh vector destructor iterator'(
    &v134,
    0x20ui64,
    2ui64,
    (void (__stdcall *)(void *))std::vector<unsigned short *>::~vector<unsigned short *>);
  return v6;
}
// 1401495E4: variable 'v96' is possibly undefined
// 140184CA8: using guessed type void __stdcall operator delete(void *);
// 1401B9854: using guessed type int dword_1401B9854;
// 1401B9A3C: using guessed type int dword_1401B9A3C;
// 140148958: using guessed type __int64 var_398[7];
// 140148958: using guessed type char Src[256];
